Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
845A,273B,Щ,チシャー,チシャー,ロシアノチシャー,チシャ,,シシャー,キリル文字,大文字,,,,
845B,273C,Ъ,イェル,イェル,ロビオールドイェル,ドビオールドイェル,,コウオンキゴウ,キリル文字,大文字,,,,
845C,273D,Ы,ウィ,ウィ,ロシアノウィ,ウィー,,ウィ,キリル文字,大文字,,,,
845D,273E,Ь,イェリ,イエリ,ロシアミアーフキーノイエリ,イエリニアーフキー,,ナンオンキゴウ,キリル文字,大文字,,,,
845E,273F,Э,エー,エー,ロシアノエー,エー,,エー,キリル文字,大文字,,,＊＊,英文字と同じ読み
845F,2740,Ю,ユー,ユー,ロシアノユー,ユー,,ユー,キリル文字,大文字,,,＊＊,英文字と同じ読み
8460,2741,Я,ラー,ヤー,ロシアノラー,ヤー,,ヤー,キリル文字,大文字,,,,
8470,2751,а,アー,アー,ロシアノアー,アー,,アー,キリル文字,小文字,,,,
8471,2752,б,ベー,ベー,ロシアノベー,ベー,,ベー,キリル文字,小文字,,,,
8472,2753,в,リエー,ウェー,ロシアノブェー,ブェー,,ヴェー,キリル文字,小文字,,,,
8473,2754,г,ゲー,ゲー,ロシアノゲー,ゲー,,ゲー,キリル文字,小文字,,,,
8474,2755,д,デー,デー,ロシアノデー,デー,,デー,キリル文字,小文字,,,,
8475,2756,е,イエー,イエー,ロシアノイェー,イェー,,ィエー,キリル文字,小文字,,,,
8476,2757,ё,ヨー,イヨー,ロシアノイョー,イョー,,ィヨー,キリル文字,小文字,,,,
8477,2758,ж,ジェー,チェー,ロシアノジェー,ジェー,,ジェー,キリル文字,小文字,,,,
8478,2759,з,ゼー,ズー,ロシアノゼー,ゼー,,ゼー,キリル文字,小文字,,,,
8479,275A,и,イー,イー,ロシアノイー,イー,,イー,キリル文字,小文字,,,＊＊,英文字と同じ読み
847A,275B,й,イークラトコエ,イークラトコエ,ロシアノイクラートカヤ,イクラートカヤ,,イークラトコエ,キリル文字,小文字,,,,
847B,275C,к,カー,カー,ロシアノカー,カー,,カー,キリル文字,小文字,,,,
847C,275D,л,エル,エル,ロシアノエル,エル,,エル,キリル文字,小文字,,,＊＊,英文字、他のロシア文字と同じ読み
847D,275E,м,エム,エム,ロシアノエム,エム,,エム,キリル文字,小文字,,,＊＊,英文字と同じ読み
847E,275F,н,エヌ,エヌ,ロシアノエヌ,エヌ,,エヌ,キリル文字,小文字,,,＊＊,英文字と同じ読み
8480,2760,о,オー,オー,ロシアノオー,オー,,オー,キリル文字,小文字,,,＊＊,英文字と同じ読み
8481,2761,п,ペー,ペー,ロシアゴノペー,ペー,,ペー,キリル文字,小文字,,,,
8482,2762,р,エルアール,エル,ロシアゴノエル,エル,,エル,キリル文字,小文字,,,＊＊,英文字、他のロシア文字と同じ読み
8483,2763,с,エス,エス,ロシアゴノエス,エス,,エス,キリル文字,小文字,,,＊＊,英文字と同じ読み
8484,2764,т,テー,テー,ロシアゴノテー,テー,,テー,キリル文字,小文字,,,,
8485,2765,у,ウー,ウー,ロシアゴノムー,ウー,,ウー,キリル文字,小文字,,,,
8486,2766,ф,エフ,エフ,ロシアゴノエフ,エフ,,エフ,キリル文字,小文字,,,＊＊,英文字と同じ読み
8487,2767,х,ハー,ハー,ロシアゴノパー,ハー,,ハー,キリル文字,小文字,,,,
8488,2768,ц,ツェー,ツェー,ロシアノズェー,ツェー,,ツェー,キリル文字,小文字,,,,
8489,2769,ч,チェー,チェー,ロシアノチェー,チェー,,チェー,キリル文字,小文字,,,,
848A,276A,ш,シァー,シャー,ロシアノシャー,シャ,,シャー,キリル文字,小文字,,,,
848B,276B,щ,チシャー,チシャー,ロシアノチシャー,チシャ,,シシャー,キリル文字,小文字,,,,
848C,276C,ъ,イェル,イェル,ロビオールドイェル,ドビオールドイェル,,コウオンキゴウ,キリル文字,小文字,,,,
848D,276D,ы,ウィ,ウィ,ロシアノウィ,ウィー,,ウィ,キリル文字,小文字,,,,
848E,276E,ь,イェリ,イエリ,ロシアミアーフキーノイエリ,イエリニアーフキー,,ナンオンキゴウ,キリル文字,小文字,,,,
848F,276F,э,エー,エー,ロシアノエー,エー,,エー,キリル文字,小文字,,,＊＊,英文字と同じ読み
8490,2770,ю,ユー,ユー,ロシアノユー,ユー,,ユー,キリル文字,小文字,,,＊＊,英文字と同じ読み
8491,2771,я,ラー,ヤー,ロシアノラー,ヤー,,ヤー,キリル文字,小文字,,,,
849F,2821,─,ヨコセン,ヨコホソ,ヨコセン,ケイセン,細線素片,ヨコセン,罫線,,,,,
84A0,2822,│,タテセン,タテホソ,タテセン,ケイセン,細線素片,タテセン,罫線,,,,＊＊,8162と同じ読み
84A1,2823,┌,ヒダリウエ,ミギホソシタホソ,ヒダリウエチョッカクセン,ミギホソシタホソ,細線素片,ヒダリウエ,罫線,,,,,
84A2,2824,┐,ミギウエ,ヒダホソシタホソ,ミギウエチョッカクセン,ヒダリホソシタホソ,細線素片,ミギウエ,罫線,,,,,
84A3,2825,┘,ミギシタ,ヒダホソウエホソ,ミギシタチョッカクセン,ヒダリホソウエホソ,細線素片,ミギシタ,罫線,,,,,
84A4,2826,└,ヒダリシタ,ミギホソウエホソ,ヒダリシタチョッカクセン,ミギホソウエホソ,細線素片,ヒダリシタ,罫線,,,,,
84A5,2827,├,タテセンミギ,ミギホソタテホソ,タテセンミギニヨコセン,ミギホソタテホソ,細線素片,タテセンミギ,罫線,,,,,
84A6,2828,┬,ヨコセンシタ,ヨコホソシタホソ,ヨコセンニシタタテセン,ヨコホソシタホソ,細線素片,ヨコセンシタ,罫線,,,,,
84A7,2829,┤,タテセンヒダリ,ヒダホソタテホソ,タテセンニヒダリヨコセン,ヒダリホソタテホソ,細線素片,タテセンヒダリ,罫線,,,,,
84A8,282A,┴,ヨコセンウエ,ヨコホソウエホソ,ヨコセンニウエタテセン,ヨコホソウエホソ,細線素片,ヨコセンウエ,罫線,,,,,
84A9,282B,┼,クロス,ヨコホソタテホソ,タテヨコクロス,ヨコホソタテホソ,細線素片,クロス,罫線,,,,,
84AA,282C,━,ヨコセンダイ,ヨコフト,フトヨコセン,ケイセン,太線素片,フトヨコセン,罫線,,,,,
84AB,282D,┃,タテセンダイ,タテフト,フトタテセン,ケイセン,太線素片,フトタテセン,罫線,,,,,
84AC,282E,┏,ヒダリウエダイ,ミギフトシタフト,フトヒダリウエチョッカクセン,ミギフトシタフト,太線素片,フトヒダリウエ,罫線,,,,,
84AD,282F,┓,ミギウエダイ,ヒダフトシタフト,フトミギウエチョッカクセン,ヒダリフトシタフト,太線素片,フトミギウエ,罫線,,,,,
84AE,2830,┛,ミギシタダイ,ヒダフトウエフト,フトミギシタチョッカクセン,ヒダリフトウエフト,太線素片,フトミギシタ,罫線,,,,,
84AF,2831,┗,ヒダリシタダイ,ミギフトウエフト,フトヒダリシタチョッカクセン,ミギフトウエフト,太線素片,フトヒダリシタ,罫線,,,,,
84B0,2832,┣,タテセンミギダイ,ミギフトタテフト,フトタテセンミギニヨコセン,ミギフトタテフト,太線素片,フトタテセンミギ,罫線,,,,,
84B1,2833,┳,ヨコセンシタダイ,ヨコフトシタフト,フトヨコセンニシタタテセン,ヨコフトシタフト,太線素片,フトヨコセンシタ,罫線,,,,,
84B2,2834,┫,タテセンヒダリダイ,ヒダフトタテフト,フトタテセンニヒダリヨコセン,ヒダリフトタテフト,太線素片,フトタテセンヒダリ,罫線,,,,,
84B3,2835,┻,ヨコセンウエダイ,ヨコフトウエフト,フトヨコセンニウエタテセン,ヨコフトウエフト,太線素片,フトヨコセンウエ,罫線,,,,,
84B4,2836,╋,クロスダイ,ヨコフトタテフト,フトタテヨコクロス,ヨコフトタテフト,太線素片,フトクロス,罫線,,,,,
84B5,2837,┠,タテセンミギクミ,ミギホソタテフト,フトタテセンニホソミギヨコセン,ミギホソタテフト,細線太線混在素片,フトタテセンホソミギ,罫線,,,,,
84B6,2838,┯,ヨコセンシタクミ,ヨコフトシタホソ,フトヨコセンニホソシタタテセン,ヨコフトシタホソ,細線太線混在素片,フトヨコセンホソシタ,罫線,,,,,
84B7,2839,┨,タテセンヒダリクミ,ヒダホソタテフト,フトタテセンニホソヒダリヨコセン,ヒダリホソタテフト,細線太線混在素片,フトタテセンホソヒダリ,罫線,,,,,
84B8,283A,┷,ヨコセンウエクミ,ヨコフトウエホソ,フトヨコセンニホソウエタテセン,ヨコフトウエホソ,細線太線混在素片,フトヨコセンホソウエ,罫線,,,,,
84B9,283B,┿,クロスクミ,ヨコフトタテホソ,ホソタテフトヨコクロス,ヨコフトタテホソ,細線太線混在素片,フトヨコセンクロス,罫線,,,,,
84BA,283C,┝,タテセンミギクミ,ミギフトタテホソ,ホソタテセンニフトミギヨコセン,ミギフトタテホソ,細線太線混在素片,タテセンフトミギ,罫線,,,,,
84BB,283D,┰,ヨコセンシタクミ,ヨコホソシタフト,ホソヨコセンニフトシタタテセン,ヨコホソシタフト,細線太線混在素片,ヨコセンフトシタ,罫線,,,,,
84BC,283E,┥,タテセンヒダリクミ,ヒダフトタテホソ,ホソタテセンニフトヒダリヨコセン,ヒダリフトタテホソ,細線太線混在素片,タテセンフトヒダリ,罫線,,,,,
84BD,283F,┸,ヨコセンウエクミ,ヨコホソウエフト,ホソヨコセンニフトウエタテセン,ヨコホソウエフト,細線太線混在素片,ヨコセンフトウエ,罫線,,,,,
84BE,2840,╂,クロスクミ,ヨコホソタテフト,フトタテホソヨコクロス,ヨコホソタテフト,細線太線混在素片,フトタテセンクロス,罫線,,,,,
8740,2D21,①,マルイチ,マルイチ,マルノナカニイチノマルイチ,マルイチ,,マルイチ,数字,,,,,
8741,2D22,②,マルニ,マルニ,マルノナカニニノマルニ,マルニ,,マルニ,数字,,,,,
8742,2D23,③,マルサン,マルサン,マルノナカニサンノマルサン,マルサン,,マルサン,数字,,,,,
8743,2D24,④,マルヨン,マルヨン,マルノナカニヨンノマルヨン,マルヨン,,マルヨン,数字,,,,,
8744,2D25,⑤,マルゴ,マルゴ,マルノナカニゴノマルゴ,マルゴ,,マルゴ,数字,,,,,
8745,2D26,⑥,マルロク,マルロク,マルノナカニロクノマルロク,マルロク,,マルロク,数字,,,,,
8746,2D27,⑦,マルナナ,マルナナ,マルノナカニナナノマルナナ,マルナナ,,マルナナ,数字,,,,,
8747,2D28,⑧,マルハチ,マルハチ,マルノナカニハチノマルハチ,マルハチ,,マルハチ,数字,,,,,
8748,2D29,⑨,マルキュー,マルキュー,マルノナカニキューノマルキュー,マルキュー,,マルキュウ,数字,,,,,
8749,2D2A,⑩,マルジュー,マルジュー,マルノナカニジュウ,マルジュー,,マルジュウ,数字,,,,,
874A,2D2B,⑪,マルジュウイチ,マルジュウイチ,マルノナカニジュウイチ,マルジュウイチ,,マルジュウイチ,数字,,,,,
874B,2D2C,⑫,マルジュウニ,マルジュウニ,マルノナカニジュウニ,マルジュウニ,,マルジュウニ,数字,,,,,
874C,2D2D,⑬,マルジュウサン,マルジュウサン,マルノナカニジュウサン,マルジュウサン,,マルジュウサン,数字,,,,,
874D,2D2E,⑭,マルジュウヨン,マルジュウヨン,マルノナカニジュウヨン,マルジュウヨン,,マルジュウヨン,数字,,,,,
874E,2D2F,⑮,マルジュウゴ,マルジュウゴ,マルノナカニジュウゴ,マルジュウゴ,,マルジュウゴ,数字,,,,,
874F,2D30,⑯,マルジュウロク,マルジュウロク,マルノナカニジュウロク,マルジュウロク,,マルジュウロク,数字,,,,,
8750,2D31,⑰,マルジュウナナ,マルジュウナナ,マルノナカニジュウナナ,マルジュウナナ,,マルジュウナナ,数字,,,,,
8751,2D32,⑱,マルジュウハチ,マルジュウハチ,マルノナカニジュウハチ,マルジュウハチ,,マルジュウハチ,数字,,,,,
8752,2D33,⑲,マルジュウキュウ,マルジュウク,マルノカニジュウキュウ,マルジュウキュウ,,マルジュウキュウ,数字,,,,,
8753,2D34,⑳,マルニジュウ,マルニジュウ,マルノナカニニジュウ,マルニジュウ,,マルニジュウ,数字,,,,,
8754,2D35,Ⅰ,ワン,ワン（ローマスウジイチ）,ローマスウジノイチ,イチ,,イチ,ローマ数字,,,,,
8755,2D36,Ⅱ,ツー,ツー（ローマスウジニ）,ローマスウジノニ,ニ,,ニ,ローマ数字,,,,,
8756,2D37,Ⅲ,スリー,スリー（ローマスウジサン）,ローマスウジノサン,サン,,サン,ローマ数字,,,,,
8757,2D38,Ⅳ,フォー,フォー（ローマスウジヨン）,ローマスウジノヨン,ヨン,,ヨン,ローマ数字,,,,,
8758,2D39,Ⅴ,ファイブ,ファイブ（ローマスウジゴ）,ローマスウジノゴ,ゴ,,ゴ,ローマ数字,,,,,
8759,2D3A,Ⅵ,シックス,シックス（ローマスウジロク）,ローマスウジノロク,ロク,,ロク,ローマ数字,,,,,
875A,2D3B,Ⅶ,セブン,セブン（ローマスウジナナ）,ローマスウジノナナ,ナナ,,ナナ,ローマ数字,,,,,
875B,2D3C,Ⅷ,エイツ,エイト（ローマスウジハチ）,ローマスウジノハチ,ハチ,,ハチ,ローマ数字,,,,,
875C,2D3D,Ⅸ,ナイン,ナイン（ローマスウジキュー）,ローマスウジノキュー,キュー,,キュウ,ローマ数字,,,,,
875D,2D3E,Ⅹ,テン,テン（ローマスウジジュー）,ローマスウジノジュー,ジュウ,,ジュウ,ローマ数字,,,,,
875F,2D40,㍉,カナミリ,カナミリ,タンイノミリ（カナミリ）,ミリ,,カナミリ,単位記号,,,,,
8760,2D41,㌔,カナキロ,カナキロ,タンイノキロ（カナキロ）,キロ,,カナキリ,単位記号,,,,,
8761,2D42,㌢,カナセンチ,カナセンチ,タンイセンチノセンチ（カナセンチ）,センチ,,カナセンチ,単位記号,,,,,
8762,2D43,㍍,カナメートル,カナメートル,ゼンカクキゴウノメートル（カナメートル）,メートル,,カナメートル,単位記号,,,,,
8763,2D44,㌘,カナグラム,カナグラム,オモサノグラム（カナグラム）,グラム,,カナグラム,単位記号,,,,,
8764,2D45,㌧,カナトン,カナトン,タンイトンノトン（カナトン,トン,,カナトン,単位記号,,,,,
8765,2D46,㌃,カナアール,カナアール,メンセキノタンイノアール（カナアール）,アール,,カナアール,単位記号,,,,,
8766,2D47,㌶,カナヘクタール,カナヘクタール,メンセキノタンイノヘクタール（カナヘクタール）,ヘクタール,,カナヘクタール,単位記号,,,,,
8767,2D48,㍑,カナリットル,カナリットル,リョウノタンイノリットル（カナリットル）,リットル,,カナリットル,単位記号,,,,,
8768,2D49,㍗,カナワット,カナワット,タンイノフット（カナワット）,ワット,,カナワット,単位記号,,,,,
8769,2D4A,㌍,カナカロリー,カナカロリー,ネツリョウノタンイノカロリー（カナカロリー）,カロリー,,カナカロリー,単位記号,,,,,
876A,2D4B,㌦,カナドル,カナドル,カヘイノタンイノドル（カナドル）,ドル,,カナドル,単位記号,,,,,
876B,2D4C,㌣,カナセント,カナセント,カヘイノタンイノセント（カナセント）,セント,,カナセント,単位記号,,,,,
876C,2D4D,㌫,カナパーセント,カナパーセント,カナパーセント,パーセント,,カナパーセント,単位記号,,,,,
876D,2D4E,㍊,カナビリバール,カナミリバール,カナミリバール,ミリバール,,カナミリバール,単位記号,,,,,
876E,2D4F,㌻,カナページ,カナページ,カナページ,ページ,,カナページ,単位記号,,,,,
876F,2D50,㎜,ミリメートル,ミリメートル,ナガサノミリメートル,ミリメートル,,ミリメートル,単位記号,,,,,
8770,2D51,㎝,センチメートル,センチメートル,ナガサノセンチメートル,センチメートル,,センチメートル,単位記号,,,,,
8771,2D52,㎞,キロメートル,キロメートル,キョリノタンイノキロメートル,キロメートル,,キロメートル,単位記号,,,,,
8772,2D53,㎎,ミリグラム,ミリグラム,オモサノタンイノミリグラム,ミリグラム,,ミリグラム,単位記号,,,,,
8773,2D54,㎏,キログラム,キログラム,オモサノタンイノキログラム,キログラム,,キログラム,単位記号,,,,,
8774,2D55,㏄,シーシー,シーシー,タイセキノタンイノシーシー,シーシー,,シーシー,単位記号,,,,,
8775,2D56,㎡,ヘイホウメートル,ヘイホウメートル,メンセキノヘイホウメートル,ヘイホウメートル,,ヘイホウメートル,単位記号,,,,,
877E,2D5F,㍻,ヘイセイ,ヘイセイ,ヘイセイ,ヘイセイ,,ヘイセイ,記号,,,,,
8780,2D60,〝,ヒゲヒラキ,ヒゲヒラキ,ヒゲヒラキ,,,ヒゲヒラキ,記号,,,,,
8781,2D61,〟,ヒゲトジ,ヒゲトジ,ヒゲトジ,,,ヒゲトジ,記号,,,,,
8782,2D62,№,ナンバー,ナンバー,ナンバー,ナンバー,,ナンバー,記号,,,,,
8783,2D63,㏍,ケーケー,ケーケー,カブシキガイシャノケーケー,カブシキガイシャ,,ケーケー,記号,,,,,
8784,2D64,℡,テレフォン,テレフォン,デンワバンゴウ,デンワバンゴウ,,テレフォン,記号,,,,,
8785,2D65,㊤,マルウエ,マルウエ,マルノナカニウエ,マルノナカニウエ,,マルウエ,記号,,,,,
8786,2D66,㊥,マルナカ,マルナカ,マルノナカニチュー,マルノナカニチュウ,,マルナカ,記号,,,,,
8787,2D67,㊦,マルシタ,マルシタ,マルノナカニシタ,マルノナカニシタ,,マルシタ,記号,,,,,
8788,2D68,㊧,マルヒダリ,マルヒダリ,マルノナカニヒダリ,マルノナカニヒダリ,,マルヒダリ,記号,,,,,
8789,2D69,㊨,マルミギ,マルミギ,マルノナカニミギ,マルノナカニミビ,,マルミギ,記号,,,,,
878A,2D6A,㈱,カッコカブ,カッコカブ,カブシキガイシャ,カブシキガイシャ,,カッコカブ,記号,,,,,
878B,2D6B,㈲,カッコユウゲン,カッコユウゲン,ユウゲンガイシャ,ユウゲンガイシャ,,カッコユウゲン,記号,,,,,
878C,2D6C,㈹,カッコダイヒョウ,カッコダイヒョウ,ダイヒョウ,ダイヒョウ,,カッコダイヒョウ,記号,,,,,
878D,2D6D,㍾,メイジ,メイジ,ゲンゴウノメイジ,メイジ,,メイジ,記号,,,,,
878E,2D6E,㍽,タイショウ,タイショウ,ゲンゴウノタイショウ,タイショウ,,タイショウ,記号,,,,,
878F,2D6F,㍼,ショウワ,ショウワ,ゲンゴウノショウワ,ショウワ,,ショウワ,記号,,,,,
8790,,,,,,,,,,,,,,
8791,,,,,,,,,,,,,,
8792,,,,,,,,,,,,,,
8793,2D73,∮,クウシュウゴウ,シュウカイセキブン,スウガクノシュウカイセキブン,シュウカイセキブン,,シュウカイセキブン,数学記号,,,,,
8794,2D74,∑,シグマ,シグマ,スウガクノシグマ,シグマ,,シグマ,数学記号,,,,,
8795,,,,,,,,,,,,,,
8796,,,,,,,,,,,,,,
8797,,,,,,,,,,,,,,
8798,2D78,∟,チョッカク,チョッカク,スウガクノチョッカク,チョッカク,,チョッカク,数学記号,,,,,
8799,2D79,⊿,サンカクケイ,サンカクケイ,スウガクノサンカクケイ,サンカクケイ,,サンカクケイ,数学記号,,,,,
879A,,,,,,,,,,,,,,
879B,,,,,,,,,,,,,,
879C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,598,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
