Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
8194,2174,＃,シャープ,シャープ,シャープ,シャープ,番号記号、井げた,シャープ,記号,,,,＊＊,81F2と同じ読み
8195,2175,＆,アンド,アンド,アンド,アンパサンド,アンパサンド,アンド,記号,,,,,
8196,2176,＊,アスタリスク,アスタリスク,アスタリスク,アスタリスク,星印、アステリスク,アスタリスク,記号,,,,,
8197,2177,＠,アットマーク,アットマーク,アットマーク,アット,単価記号,アットマーク,記号,,,,,
8198,2178,§,セクション,セクション,セクション,セクション,節記号,セクション,記号,,,,,
8199,2179,☆,ホシジルシ,ホシジルシ,シロヌキノホシジルシ,シロボシ,白星,ホシジルシ,記号,,,,,
819A,217A,★,クロボシ,クロボシ,スミヌリノホシジルシ,クロボシ,黒星,クロボシ,記号,,,,,
819B,217B,○,マルジルシ,マルジルシ,シロヌキノマルジルシ,シロマル,丸印、白丸,マルジルシ,記号,,,,,
819C,217C,●,クロマル,クロマル,スミヌリノマルジルシ,クロマル,黒丸,クロマル,記号,,,,,
819D,217D,◎,ニジュウマル,ニジュウマル,ニジュウマルジルシ,ニジュウマル,二重丸,ニジュウマル,記号,,,,,
819E,217E,◇,ヒシガタ,ヒシガタ,シロヌキノヒシガタ,ヒシガタ,ひし形,ヒシガタ,記号,,,,,
819F,2221,◆,クロヒシガタ,クロヒシガタ,スミヌリノヒシガタ,クロヒシガタ,黒ひし形,クロヒシガタ,記号,,,,,
81A0,2222,□,シカク,シカク,シロヌキノシカク,シカク,四角,シカク,記号,,,,,
81A1,2223,■,クロシカク,クロシカク,スミヌリノシカク,クロシカク,黒四角,クロシカク,記号,,,,,
81A2,2224,△,サンカク,サンカク,シロヌキノサンカク,サンカク,三角,サンカク,記号,,,,,
81A3,2225,▲,クロサンカク,クロサンカク,スミヌリノサンカク,クロサンカク,黒三角,クロサンカク,記号,,,,,
81A4,2226,▽,ギャクサンカク,ギャクサンカク,シロヌキノギャクサンカク,ギャクサンカク,逆三角,ギャクサンカク,記号,,,,,
81A5,2227,▼,クロギャクサンカク,クロギャクサンカク,スミヌリノギャクサンカク,ギャククロサンカク,逆黒三角,クロギャクサンカク,記号,,,,,
81A6,2228,※,コメジルシ,コメジルシ,コメジルシ,コメジルシ,米印,コメジルシ,記号,,,,,
81A7,2229,〒,ユウビン,ユウビン,ユウビンマーク,ユウビン,郵便記号,ユウビン,記号,,,,,
81A8,222A,→,ミギヤジルシ,ミギヤジルシ,ミギムキヤジルシ,ミギヤジルシ,右向矢印,ミギヤジルシ,記号,,,,,
81A9,222B,←,ヒダリヤジルシ,ヒダリヤジルシ,ヒダリムキヤジルシ,ヒダリヤジルシ,左向矢印,ヒダリヤジルシ,記号,,,,,
81AA,222C,↑,ウエヤジルシ,ウエヤジルシ,ウエムキヤジルシ,ウエヤジルシ,上向矢印,ウエヤジルシ,記号,,,,,
81AB,222D,↓,シタヤジルシ,シタヤジルシ,シタムキヤジルシ,シタヤジルシ,下向矢印,シタヤジルシ,記号,,,,,
81AC,222E,〓,デタジルシ,ゲタジルシ,クギリキゴウ,クギリキゴウ,げた記号,ゲタジルシ,記号,,,,,
81B8,223A,∈,ゾクスル,ゾクスルキゴウ,ゾクスルキゴウ,ゾクスル,属する,ゾクスル,数学記号,,,,,
81B9,223B,∋,ゲントシテフクム,ゲントシテフクム,モトトシテフクム,モトトシテフクム,元として含む,ゲントシテフクム,数学記号,,,,,
81BA,223C,⊆,ブブンシュウゴウ,ブブンシュウゴウ,クブンシュウゴウ,ブブンシュウゴウ,部分集合,ブブンシュウゴウ,数学記号,,,,,
81BB,223D,⊇,ブブンシュウゴウゲントシテフクム,ブブンヲフクム,クブンヲフクム,ブブンモフクム,部分集合（逆方向）,ブブンシュウゴウギャク,数学記号,,,,,
81BC,223E,⊂,シンブシュウゴウ,シンブブンシュウゴウ,シンフブンシュウゴウ,シンブブンシュウゴウ,真部分集合,シンブブンシュウゴウ,数学記号,,,,,
81BD,223F,⊃,シンブシュウゴウゲントシテフクム,シンブヲフクム,シンブヲフクム,シンブヲフクム,真部分集合（逆方向）,シンブブンシュウゴウギャク,数学記号,,,,,
81BE,2240,∪,カップ,カップ,ガッペイシュゴウ,ガッペイシュウゴウ,合併集合,カップ,数学記号,,,,,
81BF,2241,∩,キャップ,キャップ,キョウツウシュウゴウ,キョウツウシュウゴウ,共通集合,キャップ,数学記号,,,,,
81C8,224A,∧,オヨビ,ゴウセツキゴウ,ゴウセツキゴウ,ゴウセツキゴウ,及び（合接）,オヨビ,数学記号,,,,,
81C9,224B,∨,マタハ,イセツキゴウ,イセツキゴウ,リセツキゴウ,又は（離接）,マタハ,数学記号,,,,,
81CA,224C,￢,ヒテイ,キゴウノヒテイ,ヒテイキゴウ,ヒテイキゴウ,否定,ヒテイ,数学記号,,,,,
81CB,224D,⇒,ナラバ,ゴウイキゴウ,ゴウイキゴウ,ゴウイキゴウ,ならば（含意）,ナラバ,数学記号,,,,,
81CC,224E,⇔,ドウチ,ドウチキゴウ,ドウチキゴウ,ドウチキゴウ,同値,ドウチ,数学記号,,,,,
81CD,224F,∀,フツウゲンテイシ,フツウゲンテイシ,フツウゲンテイシ,フツウゲンテイシ,すべての（普通限定子）,フツウゲンテイシ,数学記号,,,,,
81CE,2250,∃,ソンザイゲンテイシ,ソンザイゲンテイシ,ソンザイゲンテイシ,ソンザイゲンテイシ,存在する（存在限定子）,ソンザイゲンテイシ,数学記号,,,,,
81DA,225C,∠,カク,カク,カクキゴウ,カクキゴウ,角,カク,数学記号,,,,,
81DB,225D,⊥,スイチョク,スイチョク,スイチョク,スイチョク,垂直,スイチョク,数学記号,,,,,
81DC,225E,⌒,コキゴウ,コキゴウ,コキゴウ,コキゴウ,弧,コキゴウ,数学記号,,,,,
81DD,225F,∂,デル,ラウンドイー,ラウンドディー,ラウンドディー,デル、ラウンドディー,ラウンドディー,数学記号,,,,,
81DE,2260,∇,ナブラ,ナブラキゴウ,ナブラキゴウ,ナブラキゴウ,ナブラ,ナブラ,数学記号,,,,,
81DF,2261,≡,ゴウドウ,ゴウドウ,ツネニヒトシイキゴウ,ツネニヒトシイキゴウ,ツネに等しい、合同,ゴウドウ,数学記号,,,,,
81E0,2262,≒,ニアリーイコール,ニアリーイコール,ホトンドヒトシイ,ホトンドヒトシイ,ほとんど等しい,二アリーイコール,数学記号,,,,,
81E1,2263,≪,ベリースモール,ヒジョウニチイサイキゴウ,ヒジョウニチイサイキゴウ,ヒジョウニチイサイキゴウ,非常に小さい,ヒジョウニチイサイ,数学記号,,,,,
81E2,2264,≫,ベリービッグ,ヒジョウニオオキイキゴウ,ヒジョウニオオキイキゴウ,ヒジョウニオオキイキゴウ,非常に大きい,ヒジョウニオオキイ,数学記号,,,,,
81E3,2265,√,ルート,ルート,コンキゴウ,ヘイホウコン,根号,ルート,数学記号,,,,,
81E4,2266,∽,ソウジ,ソウジキゴウ,ソウジキゴウ,ソウジキゴウ,相似,ソウジ,数学記号,,,,,
81E5,2267,∝,ヒレイ,ヒレイキゴウ,ヒレイキゴウ,ヒレイキゴウ,比例,ヒレイ,数学記号,,,,,
81E6,2268,∵,ナントナラバ,ナントナラバ,ナゼナラバキゴウ,ナゼナラバキゴウ,なぜならば,ナゼナラバ,数学記号,,,,,
81E7,2269,∫,インテグラル,インテグラル,セキブンキゴウ,セキブンキゴウ,積分記号,インテグラル,数学記号,,,,,
81E8,226A,∬,ダブルインテグラル,ニジュウセキブンキゴウ,ニジュウセキブンキゴウ,ニジョウセキブンキゴウ,２重積分記号,ダブルインテグラル,数学記号,,,,,
81F0,2272,Å,オングストローム,オングストローム,オングストローム,オングストローム,オングストローム,オングストローム,単位記号,,,,,
81F1,2273,‰,パーミル,パーミル,パーミル,パーミル,パーミル,パーミル,単位記号,,,,,
81F2,2274,♯,シャープ,シャープ,シャープ,シャープ,シャープ,シャープ,音楽記号,,,,＊＊,8194と同じ読み
81F3,2275,♭,フラット,フラット,,フラット,フラット,フラット,音楽記号,,,,,
81F4,2276,♪,オンプ,オンプ,,オンプ,音符,オンプ,音楽記号,,,,,
81F5,2277,†,ダガー,ダガー,ダガー,ダガー,ダガー,ダガー,記号,,,,,
81F6,2278,‡,ダブルダガー,ダブルダガー,ダブルダガー,ダブルダガー,ダブルダガー,ダブルダガー,記号,,,,,
81F7,2279,¶,ダンラクキゴウ,ダンラクキゴウ,ダンラクキゴウ,,段落記号,ダンラクキゴウ,記号,,,,,
81FC,227E,◯,ゴウセイオーマル,ゴウセイオーマル,ゴウセイオーマルノゼロ,ゴウセイオーマル,大きな丸,オオキナマル,記号,,,,,
824F,2330,０,ゼロ,ゼロ,ゼロ,ゼロ,,ゼロ,数字,,,,,
8250,2331,１,イチ,イチ,イチ,イチ,,イチ,数字,,,,,
8251,2332,２,ニ,ニ,ニ,ニ,,ニ,数字,,,,＊＊,ひらがな、カタカナと同じ読み
8252,2333,３,サン,サン,サン,サン,,サン,数字,,,,,
8253,2334,４,ヨン,ヨン,ヨン,ヨン,,ヨン,数字,,,,,
8254,2335,５,ゴ,ゴ,ゴ,ゴ,,ゴ,数字,,,,＊＊,ひらがな、カタカナと同じ読み
8255,2336,６,ロク,ロク,ロク,ロク,,ロク,数字,,,,,
8256,2337,７,ナナ,ナナ,ナナ,ナナ,,ナナ,数字,,,,,
8257,2338,８,ハチ,ハチ,ハチ,ハチ,,ハチ,数字,,,,,
8258,2339,９,キュウ,キュウ,キュウ,キュウ,,キュウ,数字,,,,,
8260,2341,Ａ,アルファ,エービー,アルファ,アルファ,,エイ,ラテン文字,大文字,アニマル,,＊＊,ロシア文字と同じ読み
8261,2342,Ｂ,ブラボー,ボーイ,ブラボー,ブラボー,,ビー,ラテン文字,大文字,ボーイ,,,
8262,2343,Ｃ,チャーリー,キャット,チャーリー,チャーリー,,シー,ラテン文字,大文字,キャット,,,
8263,2344,Ｄ,デルタ,ダイ,デルタ,デルタ,,ディー,ラテン文字,大文字,デスク,,,
8264,2345,Ｅ,エコー,イート,エコー,エコー,,イー,ラテン文字,大文字,エッグ,,＊＊,ロシア文字と同じ読み
8265,2346,Ｆ,フォックスロット,ファイン,フォックスロット,フォックストロット,,エフ,ラテン文字,大文字,フレンド,,＊＊,ロシア文字と同じ読み
8266,2347,Ｇ,ゴルフ,グッド,ゴルフ,ゴルフ,,ジー,ラテン文字,大文字,ゴルフ,,,
8267,2348,Ｈ,ホテル,ホーム,ホテル,ホテル,,エイチ,ラテン文字,大文字,ホテル,,,
8268,2349,Ｉ,インディア,インデックス,インディア,インディア,,アイ,ラテン文字,大文字,インク,,,
8269,234A,Ｊ,ジュリエット,ジャパン,ジュリエット,ジュリエット,,ジェイ,ラテン文字,大文字,ジャパン,,,
826A,234B,Ｋ,キロ,カインド,キロー,キロー,,ケイ,ラテン文字,大文字,キッチン,,,
826B,234C,Ｌ,リマ,ラム,リマ,リマ,,エル,ラテン文字,大文字,ラブ,,＊＊,ロシア文字と同じ読み
826C,234D,Ｍ,マイク,マックス,マイク,マイク,,エム,ラテン文字,大文字,マイク,,＊＊,ロシア文字と同じ読み
