Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,フォネティック読み,日本語通用名称,記号の読み,文字種別,大文字／小文字,,,読みの重複,
82B8,243A,ず,ズボンノズ,ズボン,ズボンノズ,ズコウノズ,ズボンノズ,,ズ,平仮名,,,,,
82B9,243B,せ,セカイノセ,センタクキ,セカイノセ,セカイノセ,セカイノセ,,セ,平仮名,,,,,
82BA,243C,ぜ,ゼイカンノゼ,ゼイキン,ゼイカンノゼ,ゼンアクノゼ,ゼンブノゼ,,ゼ,平仮名,,,,,
82BB,243D,そ,ソロバンノソ,ソバ,ソロバンノソ,ソロバンノソ,ソロバンノソ,,ソ,平仮名,,,,,
82BC,243E,ぞ,ゾウキンノゾ,ゾウ,ゾウキンノゾ,ゾクゴノゾ,ゾウキンノゾ,,ゾ,平仮名,,,,,
82BD,243F,た,タバコノタ,タマゴ,タバコノタ,タバコノタ,タバコノタ,,タ,平仮名,,,,,
82BE,2440,だ,ダルマノダ,ダンゴ,ダルマノダ,ダルマノダ,ダルマノダ,,ダ,平仮名,,,,,
82BF,2441,ち,チドリノチ,チジン,チドリノチ,チドリノチ,チキュウノチ,,チ,平仮名,,,,,
82C0,2442,ぢ,ハナヂノヂ,ロウ？,ハナヂノヂ,チドリノチニダクテン,ハナヂノヂ,,ヂ,平仮名,,,,,
82C1,2443,っ,チイサイツ,チイサイツバメ,チイサイツ,チイサイツ,ツバメノツ,,チイサイツ,平仮名,,,,,
82C2,2444,つ,ツバメノツ,ツバメ,ツバメノツ,ツルカメノツ,チイサイツバメノツ,,ツ,平仮名,,,,,
82C3,2445,づ,ツヅミノヅ,ツニダクテン,ツヅミノヅ,ツルカメノツニダクテン,ツヅミノヅ,,ヅ,平仮名,,,,,
82C4,2446,て,テガミノテ,テガミ,テガミノテ,テガミノテ,テガミノテ,,テ,平仮名,,,,,
82C5,2447,で,デンワノデ,デンワ,デンワノデ,デンワノデ,デンワノデ,,デ,平仮名,,,,,
82C6,2448,と,トウキョウノト,トダナ,トウキョウノト,トウキョウノト,トウキョウノト,,ト,平仮名,,,,,
82C7,2449,ど,ドレミノド,ドア,ドレミノド,ドレミノド,ドレミノド,,ド,平仮名,,,,＊＊,角度の「°」と同じ読み
82C8,244A,な,ナゴヤノナ,ナットウ,ナゴヤノナ,ナゴヤノナ,ナマエノナ,,ナ,平仮名,,,,,
82C9,244B,に,ニホンノニ,ニンジン,ニホンノニ,ニホンノニ,ニホンノニ,,ニ,平仮名,,,,＊＊,２と同じ読み
82CA,244C,ぬ,ヌリエノヌ,ヌイモノ,ヌリエノヌ,ヌマズノヌ,ヌリエノヌ,,ヌ,平仮名,,,,,
82CB,244D,ね,ネズミノネ,ネズミ,ネズミノネ,ネズミノネ,ネズミノネ,,ネ,平仮名,,,,,
82CC,244E,の,ノハラノノ,ノハラ,ノハラノノ,ノハラノノ,ノハラノノ,,ノ,平仮名,,,,,
82CD,244F,は,ハガキノハ,ハッパ,ハガキノハ,ハガキノハ,ハガキノハ,,ハ,平仮名,,,,,
82CE,2450,ば,バナナノバ,バイキン,バナナノバ,バレーノバ,バナナノバ,,バ,平仮名,,,,,
82CF,2451,ぱ,パンダノパ,パンダ,パンダノパ,パソコンノパ,パジャマノパ,,パ,平仮名,,,,,
82D0,2452,ひ,ヒカリノヒ,ヒトデ,ヒカリノヒ,ヒコウキノヒ,ヒカリノヒ,,ヒ,平仮名,,,,,
82D1,2453,び,ビールノビ,ビール,ビールノビ,ビーズノビ,ビールノビ,,ビ,平仮名,,,,,
82D2,2454,ぴ,ピアノノピ,ピーマン,ピアノノピ,ピアノノピ,ピアノノピ,,ピ,平仮名,,,,,
82D3,2455,ふ,フトンノフ,フネ,フトンノフ,フジサンノフ,フトンノフ,,フ,平仮名,,,,,
82D4,2456,ぶ,ブランコノブ,ブタ,ブランコノブ,ブラジルノブ,ブランコノブ,,ブ,平仮名,,,,,
82D5,2457,ぷ,プリントノプ,プール,プリントノプ,プールノプ,プリントノプ,,プ,平仮名,,,,,
82D6,2458,へ,ヘイワノヘ,ヘチマ,ヘイワノヘ,ヘイワノヘ,ヘイワノヘ,,ヘ,平仮名,,,,,
82D7,2459,べ,ベルトノベ,ベトナム,ベルトノベ,ベンチノベ,ベルトノベ,,ベ,平仮名,,,,,
82D8,245A,ぺ,ペットノペ,ペンキ,ペットノペ,ペットノペ,ペットノペ,,ペ,平仮名,,,,,
82D9,245B,ほ,ホケンノホ,ホタル,ホケンノホ,ホケンノホ,ホケンノホ,,ホ,平仮名,,,,,
82DA,245C,ぼ,ボタンノボ,ボール,ボタンノボ,ボタンノボ,ボタンノボ,,ボ,平仮名,,,,,
82DB,245D,ぽ,ポストノポ,ポット,ポストノポ,ポストノポ,ポストノポ,,ポ,平仮名,,,,,
82DC,245E,ま,マッチノマ,マナイタ,マッチノマ,マッチノマ,マッチノマ,,マ,平仮名,,,,,
82DD,245F,み,ミカンノミ,ミカン,ミカンノミ,ミカンノミ,ミカンノミ,,ミ,平仮名,,,,,
82DE,2460,む,ムセンノム,ムシバ,ムセンノム,ムセンノム,ムシノム,,ム,平仮名,,,,,
82DF,2461,め,メイジノメ,メガネ,メイジノメ,メイジノメ,メガネノメ,,メ,平仮名,,,,,
8.20E+01,2462,も,モミジノモ,モモンガ,モミジノモ,モミジノモ,モミジノモ,,モ,平仮名,,,,,
8.20E+02,2463,ゃ,チイサイヤ,チイサイヤ,チイサイヤ,チイサイヤ,チイサイヤカンノヤ,,チイサイヤ,平仮名,,,,,
8.20E+03,2464,や,ヤマトノヤ,ヤキイモ,ヤマトノヤ,ヤマトノヤ,ヤカンノヤ,,ヤ,平仮名,,,,,
8.20E+04,2465,ゅ,チイサイユ,チイサイユリ,チイサイユ,チイサイユ,チイサイユカタノユ,,チイサイユ,平仮名,,,,,
