漢字,田町読み（新しい詳細読み）　ひらがな・漢字
丗,世界のセの旧字
卉,花卉園芸のキ
卍,まんじ
凖,準備するのジュンの異体字
卞,ベン，なべぶたの下に片仮名のト
卩,セツ，部首のわりふ
卮,シ，さかずき
夘,十二支の卯の異体字
卻,返却するのキャクの異体字
卷,カン，海苔巻きのマキの旧字
厂,カン，部首の雁垂
厖,厖大なのボウ，雁垂に尨
厠,かわや，雁垂に法則のソク
厦,カ，雁垂に夏
厥,遊牧民族の突厥のケツ
厮,シ，雁垂に斯界の権威のシ
厰,海軍工厰のショウの異体字，雁垂
厶,シ，わたくし，片仮名のム
參,参加するのサン，参るの旧字
簒,簒奪するのサン，うばう
雙,双眼鏡のソウの旧字
叟,三番叟のソウ，おきな
曼,曼荼羅のマン
燮,調和させるの意味のショウ
叮,テイ，口偏に一丁目のチョウ
叨,トウ，口偏に刀（かたな）
叭,楽器の喇叭のハ
叺,袋の叺，口偏に入る
吁,ク，口偏に宇宙の宇のウ冠を取ったもの
吽,阿吽の呼吸のウン，口偏に動物の牛
呀,カ，口偏に牙
听,重さの単位のポンド
吭,コウ，口偏に抵抗するのコウの旁
吼,獅子吼，口偏に孔子孟子のコウ
吮,セン，口偏に片仮名のムの下にひとあし
吶,吶弁のトツ，口偏に国内のナイ
吩,フン，半分のブン
吝,吝嗇家のリン
呎,長さの単位のフィート
咏,エイ，口偏に永久のエイ
呵,啖呵を切る，口偏に可能性のカ
咎,咎める
呟,呟く
呱,呱々の声をあげるのコ
呷,コウ，酒を呷るのあおる，口偏に甲乙のコウ
呰,シ，彼岸此岸のシの下に口
咒,呪う，呪文のジュの異体字
呻,呻吟するのシン，呻く
咀,噛み砕く意味の咀嚼のソ
呶,ド，口偏に奴
咄,咄嗟のトツ，口偏に出る
咐,ホ，口偏に付録のフ，付ける
咆,虎の咆哮のホウ，ほえる
哇,アイ，口偏に土二つ
咢,ガク，驚愕するのガクの旁
咸,秦の都，咸陽の咸
咥,テツ，口偏に夏至のシ
咬,咬む，コウ，口偏に交わる
哄,コウ，口偏に共通のキョウ
哈,ゴウ，口偏に合格のゴウ
咨,シ，はかる，次の下に口
咫,長さの単位のシ，尺八のシャクの右に只今のタダ
哂,シン，わらう，口偏に西東のにし
咤,叱咤激励のタ，口偏に住宅のタク
咾,ロウ，口偏に老人のロウ
咼,カ，鍋の旁
哘,さそう，口偏に旅行のコウ
哥,うた，カ，可能性のカを重ねる
哦,ガ，口偏に我慢のガ
唏,キ，口偏に希望のキ
唔,ゴ，口偏に田吾作のゴ
哽,コウ，口偏に更科のさら
哮,ほえる，咆哮するのコウ
哭,慟哭するのコク，なく
哺,哺乳類のホ
哢,ロウ，口偏に翻弄するのロウ
唹,オ，口偏に何々に於いてのオ
啀,啀み合うの啀む，ガイ
啣,くつわの異体字，口偏に卸売りのおろし
啌,コウ，口偏に空気のクウ
售,シュウ，うる，隹の下に口
啜,すする，セツ
啅,タク，口偏に卓球のタク
啖,啖呵を切るのタン
啗,タン，くらう，口偏に餡このアンの旁
唸,うなる，口偏に残念のネン
唳,レイ，口偏に戻る
啝,カ，口偏に和服のワ
喙,カイ，くちばし，他人事に容喙するのカイ
喀,喀血するのカツ，口偏にお客のキャク
咯,ラク，口偏に各
喊,喊声を上げるのカン，さけぶ
喟,キ，口偏に胃袋のイ
啻,タダ，帝王のテイの下に口
啾,シュウ，なく，口偏に秋祭りのアキ
喘,喘息のゼン
喞,ショク，かこつ，口偏に即
單,単純なのタンの旧字
啼,テイ，なく，口偏に帝王のテイ
喃,ナン，口偏に南（みなみ）
喩,比喩のユ，たとえる
喇,楽器の喇叭のラツ
喨,リョウ，口偏に人名，諸葛亮のリョウ
嗚,嗚咽のオ，口偏に烏
嗅,嗅覚のキュウ，かぐ
嗟,咄嗟のサ，口偏に差別化するのサ
嗄,声が嗄れるのかれる，口偏に夏
嗜,嗜好品のシ，たしなむ
嗤,シ，わらう，あざわらう
嗔,シン，いかる，口偏に真心のマの旧字
嘔,嘔吐するのオウ，口偏に区別するのクの旧字
嗷,ゴウ，口偏に傲慢のゴウの旁
嘖,サク，口偏に責任のセキ
嗾,ソウ，そそのかす，口偏に水族館のゾク
嗽,ソウ，くちすすぐ，口偏に夏目漱石のソウの旁
嘛,喇嘛教のマ，口偏に麻酔のマ
嗹,レン，口偏に連絡のレン
噎,エツ，むせぶ，口偏に契約書に使う壱の旧字
噐,うつわ，楽器のキの異体字
營,営業のエイ，営むの旧字
嘴,くちばし，シ
嘶,いななく，セイ
嘲,嘲笑するのチョウ，あざける
嘸,さぞかしのさぞ，口偏に無理のム
噫,アア，口偏に意味のイ
噤,キン，つぐむ，口偏に禁止するのキン
嘯,ショウ，うそぶく，口偏に刺繍のシュウの旁
噬,臍を噬む，口偏に筮竹のゼイ
噪,ソウ，口偏に操縦するのソウの旁
嚆,始まりを意味する嚆矢のコウ
嚀,ネイ，口偏に丁寧のネイ
嚊,かかあ天下のかかあ，口偏に鼻風邪のはな
嚠,リュウ，口偏に劉邦のリュウ
嚔,テイ，くさめ
嚏,テイ，くさめの異体字
嚥,嚥下するのエン
嚮,キョウ，生まれ故郷のキョウの下に向かう
嚶,オウ，口偏に桜の旧字の旁
嚴,厳重なのゲン，きびしいの旧字
囂,喧々囂々のゴウ
嚼,咀嚼するのシャク，かむ
囁,囁く
囃,五人囃子のはやし
囀,さえずる，口偏に運転のテンの旧字
囈,ゲイ，口偏に芸術のゲイの旧字
囎,ソ，口偏に貝殻のカイに木曽路のソの旧字
囑,ショク，嘱託するのショクの旧字
囓,ゲツ，口偏に齧歯類のゲツ
囗,イ，部首の国構え
囮,囮捜査のおとり
囹,レイ，国構えに命令するのレイ
圀,国の異体字，徳川光圀のクニ
囿,ユウ，国構えに有名人のユウ
圄,ゴ，国構えに田吾作のゴ
圉,ギョ，国構えに幸せ
圈,ケン，首都圏のケンの旧字
國,くに，国語のコクの旧字
圍,囲む，囲碁のイの旧字
圓,エン，百円玉のエンの旧字
團,ダン，団体行動のダンの旧字
圖,ズ，図書館のトの旧字
嗇,吝嗇家のショク
圜,カン，国構えに自然環境のカンの旁
圦,いり，土偏に入学するのニュウ
圷,あくつ，土偏に上下のゲ
圸,まま，土偏に山
坎,カン，あな，土偏に補欠のケツ
圻,キ，土偏に食パン1斤のキン
址,シ，城跡を意味する城址のシ
坏,高坏のツキ
坩,カン，るつぼ，土偏に甘い
埀,垂直のスイ，垂れるの異体字
垈,タイ，代表者のダイの下に土
坡,ハ，土偏に毛皮のかわ
坿,フ，土偏に付録のフ
垉,ホウ，土偏に包む
垓,数の単位のガイ
垠,ギン，土偏に大根のコンの旁
垳,がけ，土偏に旅行するのコウ
垤,テツ，ありづか，土偏に夏至のシ
垪,は，土偏に併合のヘイの旁
垰,たお，土偏に上と下
埃,埃まみれのほこり，塵埃のアイ
埆,カク，土偏につの
埔,ホ，土偏に詩人の杜甫のホ
埒,埒が開かないのラチ
埓,埒が開かないのラチの異体字
堊,アク，亜熱帯のアの旧字体の下に土
埖,ごみ，土偏に花火のはな
埣,サイ，土偏に卒業のソツ
堋,ホウ，土偏に朋友のホウ
堙,イン，土偏に煙突のエンの旁
堝,カ，土偏に鍋の旁
塲,場所のバの異体字
堡,橋頭堡のホ，保健室のホの下に土
塢,オ，土偏に烏合の衆のウ
塋,エイ，はか，営業のエイの旧字の呂の代わりに土
塰,あま，海の下に土
毀,名誉毀損のキ
塒,ジ，ねぐら，土偏に日時のジ
堽,コウ，土偏にあみがしらに正しい
塹,塹壕のザン
墅,ショ，野原のノの下に土
墹,まま，土偏に間
墟,廃墟のキョ
墫,樽の異体字
墺,オウ，土偏に奥歯のオクの旧字
壞,壊す，破壊のカイの旧字
墻,ショウ，土偏に吝嗇のショク
墸,土偏に著者のチョの旧字体
墮,堕落するのダの旧字
壅,ヨウ，擁立するのヨウの旁の下に土
壓,圧力のアツの旧字
壑,谷を意味するガク
壗,まま，土偏に我儘のママの旁
壙,コウ，土偏に広場のヒロの旧字
壘,累積するのルイの旧字
壥,土偏に雁垂に墨汁のボクの旧字
壜,ビン，土偏に曇り
壤,土壌改良のジョウの旧字
壟,ロウ，恐竜のリュウの旧字の下に土
壯,壮大なのソウの旧字
壺,思う壷のツボの正字
壹,契約書に使う数字壱の旧字
壻,花婿のムコの異体字，土偏
壼,コン，士の下にワ冠，亜熱帯のアの旧字
壽,ことぶき，寿命のジュの旧字
夂,チ，部首の冬がしら
夊,スイ，部首のすいにょう
夐,ケイ，すいにょうのはるか
夛,多い少ないの多いの異体字
梦,ゆめ，夢中のムの異体字
夥,カ，おびただしい
夬,カイ，わける，多数決のケツの旁
夭,夭折するのヨウ，わかい
夲,トウ，大きいの下に数字の十
夸,カ，誇張するのコの旁
夾,キョウ，挟むの旧字の旁
竒,奇妙なのキの異体字
奕,囲碁を意味するエキ
奐,カン，換気扇のカンの旁
奎,ケイ，大きいの下に土二つ
奚,ケイ，渓流釣りのケイの旧字の旁
奘,三蔵法師玄奘のジョウ
奢,豪奢のシャ，奢り
奠,お香奠のデン，酋長さんのシュウの下に大きい
奧,奥歯のオクの旧字
奬,奨学金のショウの旧字
奩,レン，ハコ，大きいの下に区別するのク
奸,カン，女偏に干す
妁,シャク，女偏に容積の単位の勺
妝,ショウ，将軍のショウの旧字の左側に女
佞,奸佞のネイ
侫,奸佞のネイの異体字
妣,ヒ，女偏に比較するのヒ
妲,ダツ，女偏に元旦のタン
姆,ボ，女偏に母
姨,イ，女偏に尊皇攘夷のイ
姜,生姜の2文字目，羊の下に女
妍,ケン，女偏に研究のケンの旁
姙,ニン，妊娠するのニンの異体字
姚,ヨウ，女偏に一兆円のチョウ
娥,ガ，女偏に我慢のガ
娟,ケン，女偏に絹糸のきぬの旁
娑,娑婆に出るのシャ
娜,婀娜っぽいのダ
娉,ヘイ，女偏に招聘するのヘイ
娚,ナン，女偏に男
婀,婀娜っぽいのア
婬,イン，女偏に淫乱のインの旁
婉,婉曲表現のエン
娵,シュ，女偏に取材のシュ
娶,めとる，シュ
婢,ヒ，女偏に卑屈なのヒ
婪,貪婪なのラン，林の下に女
媚,媚薬のビ，媚びる
媼,オウ，女偏に温泉のオンの旧字の旁
媾,コウ，女偏に溝の旁
嫋,ジョウ，たおやか
嫂,ソウ，あによめ
媽,ボ，女偏に馬
嫣,エン，女偏に終焉の地のエン
嫗,オウ，女偏に区別のクの旧字
嫦,ジョウ，女偏に非常口のジョウ
嫩,ドン，整理するのセイの上側
嫖,ヒョウ，女偏に投票のヒョウ
嫺,カン，女偏に門構えに月
嫻,カン，女偏に門構えに木曜日の木
嬌,愛嬌があるのキョウ
嬋,セン，女偏に単純のタンの旧字
嬖,ヘイ，辟易するのヘキの下に女
嬲,ジョウ，なぶる，男，女，男
嫐,ドウ，なやましい，女，男，女
嬪,別嬪のヒン
嬶,かかあ，女偏に鼻風邪の鼻
嬾,ラン，女偏に頼るの旧字
孃,お嬢様のジョウの旧字
孅,セン，女偏に籤引きのくじの下側
孀,ソウ，寡，女偏に霜柱のしも
孑,残りを意味するケツ，子供のコの右腕が欠けた形
孕,はらむ，ヨウ
孚,フ，はぐくむ，爪の下に子供のコ
孛,ボツ，勃発するの左側
孥,ド，奴の下に子供のコ
孩,ガイ，子偏に十二支の亥
孰,シュク，学習塾のジュクから土を取った形
孳,ジ，慈悲深いのジの心の代わりに子供のコ
孵,卵が孵化するのフ
學,学ぶ，学習のガクの旧字
斈,学ぶ，学習のガクの異体字
孺,ジュ，子偏に必需品のジュ
宀,ベン，部首のウ冠
它,タ，蛇から虫偏を取った形
宦,宦官のカン，ウ冠に総理大臣のジン
宸,シン，ウ冠に十二支の辰
寃,冤罪を晴らすのエンの異体字
寇,蒙古襲来の元寇のコウ
寉,鳥の鶴の異体字，ウ冠に隹
寔,ショク，ウ冠に是非のゼ
寐,夢寐のビ，ねむる
寤,覚めるを意味するゴ
實,実力のジツ，みの旧字
寢,寝室のシン，寝るの旧字
寞,寂寞のバク
寥,寂寥感のリョウ
寫,写真のシャ，写すの旧字
寰,カン，ウ冠に自然環境のカンの旁
寶,宝石のホウ，宝の旧字
寳,宝石のホウ，宝の旧字の異体字
尅,下剋上のコクの異体字，克服するのコクに寸
將,将軍のショウの旧字
專,専門のセンの旧字
對,反対のタイの旧字
尓,ジ，阿弥陀仏のミの旁
尠,セン，甚だしいに少ない
尢,オウ，部首の曲げ足
尨,ぼう，尨（むくいぬ）
尸,シ，部首のしかばね
尹,イン，伊勢エビのイの旁
屁,ヒ，屁理屈のへ
屆,届けるの旧字
屎,屎尿のシ，くそ
屓,贔屓のキ，しかばねに貝殻のカイ
屐,ゲキ，きぐつ，しかばねに行人偏に支援するのシ
屏,屏風のビョウ
孱,サン，尸に子供の子が三つ
屬,付属のゾクの旧字
屮,左を意味するサ，山の長い縦棒が下に抜ける
乢,カイ，山偏に礼儀のレイの旁
屶,カイ，なた，山の下に刀
屹,屹立するのキツ
岌,キュウ，山の下に普及するのキュウ
岑,シン，山の下に今月のコン
岔,タ，半分のブンの下に山
妛,山の下に漢数字の一，その下に女
岫,シュウ，いわあな，山偏に理由のユウ
岻,チ，山偏に低いの旁
岶,ハク，山偏に白い
岼,ゆり，山偏に平ら
岷,ビン，山偏に国民のミン
峅,くら，山偏に弁当のベン
岾,はけ，山偏に独占するのセン
峇,コウ，山の下に合格のゴウ
峙,対峙するのジ，山偏に寺
峩,山偏に我のガの異体字
峽,津軽海峡のキョウの旧字
峺,コウ，山偏に更科のさら
峭,ショウ，山偏に肖像画のショウ
嶌,トウ，島国のシマの異体字，山の下に鳥
峪,ヨク，山偏に谷
崋,渡辺崋山のカ
崕,がけ，断崖のガイの異体字
崗,花崗岩のコウ，岡山県のおかの異体字
嵜,長崎県のサキの異体字
崟,ギン，山の下に金曜日のキン
崛,クツ，山偏に理屈のクツ
崑,崑崙山脈のコン，山の下に昆虫のコン
崔,サイ，山の下に隹
崢,ソウ，山偏に争うの旧字
崚,リョウ，山偏に稜線のリョウの旁
崙,崑崙山脈のロン
崘,崑崙山脈のロンの異体字
嵌,嵌木細工の嵌める，カン
嵒,ガン，品物のしなの下に山
嵎,グウ，山偏に偶然のグウの旁
嵋,ビ，山偏に眉毛のまゆ
嵬,カイ，山の下に鬼
嵳,サ，山の下に差別化するのサ
嵶,たわ，山偏に弱い
嶇,ク，山偏に区別するのクの旧字
嶄,ザン，山の下に斬新なのザン
嶂,ショウ，山偏に文章を書くのショウ
嶢,ギョウ，山偏に尭舜のギョウの旧字
嶝,トウ，山偏に登山のト
嶬,ギ，山偏に義務のギ
嶮,ケン，山偏に試験を受けるのケンの旧字の旁
嶽,山岳部のガクの旧字
嶐,リュウ，山の下に隆起するのリュウに一画加えた形
嶷,ギ，山の下に疑問のギ
嶼,ショ，山偏に与えるの旧字
巉,ザン，山偏に讒言するのザンの旁
巍,ギ，山の下に魏志倭人伝のギ
巓,山の頂を意味する山巓のテン
巒,ラン，恋人のコイの旧字の心の代わりに山
巖,厳重なのゲン，厳しいの旧字
巛,セン，部首の曲がり川
巫,神社の巫女のフ
已,文法の已然形のイ
巵,シ，さかずきの異体字
帋,画用紙のシ，紙の異体字
帚,ほうき，掃除機のソウの旁
帙,チツ，幅偏に失う
帑,ド，奴の下に巾
帛,ハク，白鳥のハクの下に巾
帶,携帯のタイ，帯の旧字
帷,カタビラ，幅偏に隹
幄,アク，幅偏に屋上のオク
幃,イ，幅偏に偉大なのイの旁
幀,テイ，幅偏に貞淑なのテイ
幎,ベイ，幅偏に冥福を祈るのメイ
幗,カク，幅偏に国の旧字
幔,幔幕のマン，巾偏に鰻の旁
幟,旗幟を鮮明にするのシ，のぼり
幢,トウ，巾偏にグリム童話のドウ
幤,造幣局のヘイの異体字
幇,幇助するのホウ
幵,ケン，干すが二つ
并,ヘイ，併用するのヘイの旁
幺,ヨウ，部首の糸頭
麼,モ，麻酔のマの下に糸頭
广,ゲン，部首の麻垂
庠,ショウ，マダレニヒツジ
廁,かわや，麻垂に法則のソク
廂,ショウ，麻垂に相談するのソウ
廈,カ，麻垂に夏
廐,厩舎のキュウ，うまやの異体字，牙
廏,厩舎のキュウ，うまやの異体字，るまた
廖,リョウ，麻垂に誤謬のビュウの旁
廣,広場のヒロの旧字
廝,シ，麻垂に斯界の権威のシ
廚,厨房のチュウ，くりやの旧字
廛,テン，纏の旁
廢,廃止するのハイ，廃れるの旧字
廡,ブ，麻垂に無理のム
廨,カイ，麻垂に解決するのカイ
廩,リン，麻垂に稟議するのリン
廬,廬山のロ，麻垂に櫨の木のハゼの旁
廱,ヨウ，麻垂に川，口，巴，隹
廳,チョウ，気象庁のチョウの旧字
廰,チョウ，気象庁のチョウの旧字の異体字
廴,イン，部首のエンニョウ
廸,テキ，延繞に理由のユウ
廾,キョウ，部首の二重足
弃,廃棄するのキ，棄てるの異体字
弉,三蔵法師玄奘のジョウの異体字
彝,イ，語彙のイの上側に米，糸，二重足
彜,イ，語彙のイの上側に粉，二重足
弋,ヨク，部首の式構え
弑,弑逆するのシ，殺すの左側に入学式のシキ
弖,てにをはのて，弓の下に漢数字の一
弩,超弩級のド，奴の下に弓
弭,ビ，弓偏に耳
弸,ホウ，弓偏に朋友を意味するホウ
彁,弓偏に可能性のカを重ねる
彈,弾力のダン，弾むの旧字
彌,阿弥陀仏のミの旧字
彎,湾岸のワンの旧字の旁
弯,湾岸のワンの旁
彑,ケイ，部首のケイ頭
彖,タン，ケイ頭に豕（いのこ）
彗,ハレー彗星のスイ
彙,基本語彙のイ
彡,サン，部首の彡旁
彭,ホウ，膨張率のボウの旁
彳,テキ，部首の行人偏
彷,彷徨するのホウ，行人偏に親方のカタ
徃,往復するのオウの異体字
徂,儒学者の荻生徂徠のソ
彿,フツ，行人偏に弗
徊,徘徊するのカイ，行人偏に回る
很,コン，行人偏に大根のコンの旁
徑,円の半径のケイの旧字
徇,ジュン，行人偏に下旬のジュン
從,従事するのジュウ，従うの旧字
徙,シ，行人偏に止めるに走るの下側
徘,徘徊するのハイ，さまよう
徠,儒学者の荻生徂徠のライ
徨,彷徨するのコウ，さまよう
徭,ヨウ，行人偏に揺れるの旧字の旁
徼,キョウ，行人偏に激励するのゲキの旁
忖,忖度するのソン，立心偏に寸法のスン
忻,キン，立心偏にパン一斤のキン
忤,ゴ，立心偏に正午のゴ
忸,忸怩たるのジク，はじる
忱,シン，立心偏に沈没するのチンの旁
忝,テン，かたじけない，添付するのテンの旁
悳,トク，道徳のトクの異体字
忿,フン，分別の下に心
怡,イ，立心偏に台所のダイ
恠,怪物のカイの異体字，立心偏に存在のザイ
怙,依怙贔屓のコ，立心偏に中古車のコ
怐,コウ，立心偏に俳句のク
怩,忸怩たるのジ，はじる
怎,ソウ，昨夜のサクの旁の下に心
怱,ソウ，葱の草冠の下側
怛,ダツ，立心偏の元旦のタン
怕,ハ，おそれる，立心偏に白い
怫,フツ，立心偏に弗
怦,ヒョウ，立心偏に平和のヘイ
怏,オウ，立心偏に中央のオウ
怺,エイ，立心偏に永久のエイ
恚,イ，土二つの下に心
恁,ジン，責任のニンの下に心
恪,カク，立心偏に各自のカク
恷,キュウ，休日のキュウの下に心
恟,キョウ，立心偏に体の胸の旁
恊,協力するのキョウの異体字
恆,恒温動物のコウ，恒にの旧字
恍,恍惚の人のコウ
恣,恣意的なのシ，ほしいまま
恃,矜恃を保つのジ
恤,ジュツ，立心偏に血液のケツ
恂,ジュン，立心偏に下旬のジュン
恬,無欲恬淡のテン
恫,恫喝するのドウ
恙,ヨウ，恙なく暮らすのツツガ
悁,エン，立心偏に絹糸のキヌの旁
悍,精悍な顔付きのカン
惧,危惧するのグ
悃,コン，立心偏に困る
悚,ショウ，立心偏に束
悄,悄然たる姿のショウ，立心偏に肖像画のショウ
悛,悔悛の情のシュン
悖,ボツ，立心偏に勃発するのボツの左側
悗,バン，立心偏に免許のメン
悒,ユウ，立心偏に都邑のユウ
悧,怜悧のリ，立心偏に権利のリ
悋,嫉妬を意味する悋気のリン
惡,善悪のアク，悪いの旧字
悸,動悸がするのキ
惠,恵む，知恵のエの旧字
惓,ケン，立心偏に海苔巻きのマキ
悴,憔悴するのスイ
忰,憔悴するのスイの異体字
悽,セイ，立心偏に夫妻のサイ，つま
惆,チュウ，立心偏に周辺のシュウ
悵,チョウ，立心偏に長短のチョウ
惘,ボウ，立心偏に網膜のモウの旁
慍,ウン，立心偏に温泉のオンの旧字体の旁
愕,驚愕するのガク
愆,ケン，敷衍するのエンの下に心
惶,コウ，立心偏に皇太子のコウ
惷,シュン，季節の春の下に心
愀,ショウ，立心偏に季節の秋
惴,ズイ，立心偏に喘息のゼンの旁
惺,セイ，立心偏に星
愃,セン，立心偏に宣伝するのセン
愡,ソウ，立心偏に葱の草冠の下側
惻,惻隠の情のソク，立心偏に法則のソク
惱,悩む，苦悩するのノウの旧字
愍,ビン，民とのぶんの下に心
愎,フク，立心偏に往復のフクの旁
慇,慇懃なのイン
愾,キ，立心偏に空気のキの旧字
愨,まことを意味するカク
愧,慚愧に堪えないのキ
慊,ケン，立心偏に兼ねる
愿,ゲン，野原のハラの下に心
愼,慎重なのシン，慎むの旧字
愬,ソ，八朔のサクの下に心
愴,悲愴なのソウ，立心偏に鎌倉幕府のくら
愽,博物館のハクの異体字
慂,ヨウ，小涌谷のワクの下に心
慄,戦慄するのリツ
慳,ケン，立心偏に堅実なのケン
慷,悲憤慷慨のコウ，立心偏に家康のヤス
慘,惨敗するのザン，惨めの旧字
慙,慚愧に堪えないのザン，下心
慚,慚愧に堪えないのザン，立心偏
慫,ショウ，服従するのジュウの旧字の下に心
慴,ショウ，立心偏に練習するのシュウ，習う
慯,ショウ，立心偏に切り傷のキズ
慥,ソウ，立心偏に改造するのゾウ
慱,タン，立心偏に専門のセンの旧字
慟,慟哭するのドウ
慝,トク，匿名のトクの下に心
慓,ヒョウ，立心偏に投票するのヒョウ
慵,ヨウ，立心偏に凡庸なのヨウ
憙,キ，喜怒哀楽の下に心
憖,ギン，来年のライの旧字と犬の下に心
憇,休憩のケイ，憩うの異体字
憬,憧憬の的のケイ，立心偏に風景のケイ
憔,憔悴するのショウ
憚,忌憚のないのタン，はばかる
憊,疲労困憊のハイ
憑,憑依するのヒョウ，狐憑きのつく
憫,憐憫のビン，立心偏に門構えに文章を書くのブン
憮,憮然とするのブ
懌,エキ，立心偏に沢の旧字の旁
懊,懊悩するのオウ，悩む
應,応援するのオウの旧字
懷,懐中電灯のカイ，ふところの旧字
懈,懈怠するのケ，立心偏に解決するのカイ
懃,慇懃無礼のギン
懆,ソウ，立心偏に操縦するのソウの旁
憺,苦心惨憺のタン，立心偏に担任のタンの旧字の旁
懋,ボウ，林の間に矛盾するのム，その下に心
罹,罹患するのリ，かかる
懍,リン，立心偏に稟議するのリン
懦,怯懦のダ，よわい，立心偏に必需品のジュ
懣,憤懣やる方なしのマン
懶,懶惰なのラン，立心偏に依頼するのライの旧字
懺,懺悔するのザン，くいる
懴,懺悔するのザン，くいるの異体字
懿,第四代懿徳天皇のイ
懽,カン，立心偏に灌漑用水のカンの旁
懼,恐懼するのク，立心偏に目が二つの下に隹
懾,ショウ，立心偏に耳三つ
戀,恋人のコイの旧字
戈,カ，部首の戈旁
戉,まさかり，エツ，金偏なし
戍,ジュ，まもる，戊辰戦争のボの中にテン
戌,ジュツ，十二支のイヌ
戔,サン，浅いの旧字の旁
戛,カツ，頁のハの代わりに戈旁
戞,カツ，憂鬱のユウの上側に戈旁
戡,カン，甚だしいの右に戈旁
截,截然たるのセツ，栽培するのサイの木の代わりに隹
戮,殺戮するのリク
戰,戦争のセン，たたかうの旧字
戲,戯曲のギの旧字
戳,タク，洗濯物のタクの旁に戈旁
扁,ヘン，編集する，編むの旁
扎,サツ，手偏に礼儀のレイの旁
扞,カン，手偏に干す
扣,コウ，手偏に口
扛,コウ，手偏に図画工作のコウ
扠,サ，手偏に夜叉のシャ
扨,さて，手偏に刃の異体字
扼,切歯扼腕のヤク
抂,キョウ，手偏に王様のオウ
抉,ケツ，手偏に多数決のケツの旁
找,カ，手偏に戈旁
抒,抒情詩のジョ，手偏に予定のヨ
抓,ソウ，つねる，手偏に爪
抖,トウ，手偏に北斗七星のト
拔,抜群のバツ，抜けるの旧字
抃,抃舞するのベン，手偏になべぶたの下に片仮名のト
抔,ホウ，手偏に不思議のフ
拗,拗音のヨウ，手偏に幼い
拑,カン，手偏に甘い
抻,シン，手偏に申告するのシン
拏,拏捕するのダ，奴の下に手
拿,拿捕するのダ，合格のゴウの下に手
拆,タク，手偏に排斥運動のセキ
擔,担任のタンの旧字
拈,ネン，手偏に独占するのセン
拜,拝むの旧字
拌,攪拌するのハン，かきまぜる
拊,フ，手偏に付録のフ
拂,金を払うのはらうの旧字
拇,拇印を押すのボ
抛,抛擲するのホウ，手偏に漢数字の九に力
拉,拉致するのラ
挌,カク，手偏に各自のカク
拮,拮抗するのキツ
拱,こまぬく，キョウ，手偏に共通のキョウ
挧,ウ，手偏に羽毛のウ
挂,ケイ，手偏に土二つ
挈,ケツ，契約するのケイの大の代わりに手
拯,ジョウ，手偏に大臣を意味する丞相のジョウ
拵,こしらえる，ソン
捐,義捐金のエン，手偏に絹糸のきぬの旁
挾,キョウ，挟むの旧字
捍,カン，手偏に日照りを意味する旱魃のカン
搜,捜査状のソウ，捜すの旧字
捏,捏造するのネツ，こねる
掖,エキ，手偏に昼夜のよる
掎,キ，手偏に奇妙なのキ
掀,キン，手偏に欣喜雀躍のキン
掫,ソウ，手偏に取材するのシュ
捶,スイ，手偏に垂直のスイ
掣,セイ，制限するのセイの下に手
掏,トウ，手偏に陶芸家のトウの旁
掉,チョウ，手偏に卓球のタク
掟,おきて，手偏に定める
掵,はば，手偏に命
捫,モン，手偏に専門のモン
捩,レイ，ねじる，手偏に戻る
掾,エン，手偏に縁側のエンの旧字の旁
揩,カイ，手偏に皆様ミナ
揀,カン，手偏に魚の鰊の旁
揆,百姓一揆のキ
揣,揣摩憶測のシ，手偏に端末のタンの旁
揉,揉む，手偏に柔道のジュウ
插,挿入するのソウ，さすの旧字
揶,揶揄するのヤ
揄,揶揄するのユ
搖,揺れる，動揺するのヨウの旧字
搴,ケン，寒いの下二点の代わりに手
搆,コウ，手偏に溝の旁
搓,サ，手偏に差別化するのサ
搦,搦め手の搦め，手偏に強弱のジャク
搶,ソウ，手偏に鎌倉幕府のクラ
攝,摂生するのセイ，とるの旧字
搗,餅搗きのつき
搨,トウ，手偏に日曜日の日の下に羽
搏,脈搏のハク，手偏に博物館のハクの旁
摧,サイ，手偏に催しの旁
摯,真摯な態度のシ，執事のシツの下に手
摶,タン，手偏に専門のセンの旧字
摎,コウ，手偏に膠の旁
攪,攪乱するのコウ，みだす
撕,シ，手偏に斯界の権威のシ
撓,不撓不屈のトウ，たわむ
撥,はねる，ハツ，手偏に発明のハツの旧字
撩,撩乱のリョウ，手偏に同僚のリョウの旁
撈,漁撈のロウ，手偏に労働のロウの旧字
撼,震撼させるのカン，手偏に感想文のカン
據,拠点のキョの旧字
擒,キン，手偏に猛禽類のキン
擅,独擅場のセン，手偏に檀家のダンの旁
擇,選択肢のタクの旧字
撻,鞭撻するのタツ
擘,ヘキ，壁の土の代わりに手
擂,ライ，手偏に雷
擱,擱座するのカク，手偏に天守閣のカク
擧,選挙のキョ，挙げるの旧字
舉,選挙のキョ，挙げるの旧字の異体字
擠,セイ，手偏に臍の旁
擡,擡頭するのタイ，手偏に台所の台の旧字
抬,タイ，手偏に台所の台
擣,トウ，手偏に寿の旧字
擯,ヒン，手偏に来賓のヒン
攬,ラン，手偏に博覧会のランの旧字
擶,セン，手偏に竹冠に前
擴,拡大するのカクの旧字
擲,投擲競技のテキ，なげうつ
擺,ハイ，手偏に罷免するのヒ
攀,岸壁を登攀するのハン
