漢字,田町読み（新しい詳細読み）　ひらがな・漢字
宮,おみやまいりのみや，きゅう
弓,ゆみやのゆみ
急,とっきゅうのきゅう，いそぐ
救,きゅうじょのきゅう，すくう
朽,ろうきゅうかするのきゅう，くちる
求,ようきゅうのきゅう，もとめる
汲,くむ，きゅうきゅうとするのきゅう
泣,なく，ごうきゅうするのきゅう
灸,おきゅうをすえるのきゅう
球,ちきゅうのきゅう，たま
究,けんきゅうのきゅう
窮,きゅうくつのきゅう，きわまる
笈,おい，たけかんむりにおよぶ
級,さいこうきゅうのきゅう
糾,ふんきゅうするのきゅう
給,きゅうしょくしつのきゅう
旧,きゅうれきのきゅう
牛,うし，ぎゅうにゅうのぎゅう
去,きょねんのきょ，さる
居,じゅうきょのきょ，いる
巨,きょだいなのきょ
拒,きょひするのきょ，こばむ
拠,きょてんのきょ
挙,せんきょのきょ，あげる
渠,あんきょのきょ，みぞ
虚,きょえいしんのきょ
許,きょかするのきょ，ゆるす
距,きょりのきょ
鋸,のこぎり，きょ
漁,ぎょこうのぎょ
禦,ぼうぎょのぎょのきゅうじ
魚,さかな，きんぎょのぎょ
亨,きょう，なべぶたにくちにりょう
享,きょうらくてきのきょう
京,とうきょうのきょう
供,ていきょうするのきょう，そなえる
侠,にんきょうのきょう
僑,ちゅうごくのかきょうのきょう
兇,きょうだんにたおれるのきょう，ひとあしのきょう
競,きょうそうするのきょう，きそう
共,きょうつうのきょう，とも
凶,きちときょうのきょう
協,きょうりょくするのきょう
匡,ただす，きょう，はこがめにおう
卿,きょう，すうきけいのけい
叫,さけぶ，ぜっきょうのきょう
喬,きょうぼくのきょう，たかし
境,こっきょうのきょう，さかい
峡,つがるかいきょうのきょう
強,べんきょうのきょう，つよい
彊,じきょうじゅつのきょう，つよい
怯,ひきょうもののきょう，おびえる
恐,きょうふのきょう，おそろしい
恭,きょうじゅんのきょう，うやうやしい
挟,はさむ，きょう
教,きょうかしょのきょう，おしえる
橋,ほどうきょうのきょう，はし
況,じっきょうちゅうけいのきょう
狂,くるう，きょうげんのきょう
狭,せまい，きょう
矯,きょうせいしりょくのきょう
胸,きょういのきょう，むね
脅,きょうはくのきょう，おどす
興,きょうみのきょう
蕎,しょくぶつのそば，きょう
郷,うまれこきょうのきょう
鏡,かがみ，そうがんきょうのきょう
響,おんきょうのきょう，ひびく
饗,きょうえんのきょう，もてなす
驚,おどろく，きょうたんのきょう
仰,ぎょうてんするのぎょう，あおぐ
凝,こる，ぎょうこするのぎょう
尭,ぎょうしゅんのぎょう
暁,あかつき
業,じゅぎょうのぎょう
局,ゆうびんきょくのきょく
曲,きょくせんのきょく，まがる
極,ほっきょくのきょく
玉,みずたまのたま，ぎょく
桐,きりのたんすのきり
粁,きょりのたんいのきろめーとる
僅,わずか，きんさのきん
勤,きんむのきん
均,へいきんのきん
巾,ぞうきんのきん，はば
錦,にしき，きん
斤,しょくぱんいっきんのきん
欣,きんきじゃくやくのきん，よろこぶ
欽,きんていけんぽうのきん
琴,もっきんのきん，こと
禁,きんしするのきん
禽,もうきんるいのきん
筋,きんにくのきん，すじ
緊,きんきゅうのきん
芹,しょくぶつのせり
菌,さっきんするのきん
衿,えり，ころもへんにいま
襟,えりまきのえり
謹,きんがしんねんのきん
近,きんじょのきん，ちかい
金,きんようびのきん，かね
吟,ぎんみするのぎん
銀,ぎんいろのぎん
九,かんすうじのきゅう
倶,くらぶのく
句,はいくのく
区,くべつのく
狗,てんぐのく，いぬ
玖,おうへんにひさしいのく
矩,くけいのく
苦,くろうのく，くるしい
躯,たいくのく，み
駆,よんりんくどうのく，かける
駈,かける，うまへんにおか
駒,こま，うまへんにはいくのく
具,どうぐのぐ
愚,ぐちのぐ，おろか
虞,ぐびじんそうのぐ
喰,くちへんにたべるのくう
空,くうきのくう，そら
偶,ぐうぜんのぐう
寓,ぐうわのぐう
遇,ゆうぐうするのぐう
隅,よすみのすみ，ぐう
串,くしかつのくし
櫛,かみをとかすくし
釧,くしろ，こんせんげんやのせん
屑,くずいれのくず
屈,りくつのくつ
掘,ほる，はっくつのくつ
窟,どうくつのくつ
沓,くつ，みずのしたにひ
靴,くつしたのくつ，か
轡,くつわ
窪,くぼむ，くぼちのくぼ
熊,どうぶつのくま
隈,くま，かいわいのわい
粂,くめ，ひさしいのしたにこめ
栗,くりのきのくり
繰,くる，くりかえしのくり
桑,くわのきのくわ，そう
鍬,のうぐのくわ，かねへんにあき
勲,くんしょうのくん，いさお
君,しょくんのくん，きみ
薫,くんぷうのくん，かおる
訓,くんれんのくん
群,ぐんしゅうのぐん，むれ
軍,ぐんたいのぐん
郡,ちめいのぐん，こおり
卦,はっけのけ
袈,おぼうさんのけさのけ
祁,しめすへんにおおざとのき
係,かんけいのけい，かかり
傾,かたむく，けいこうのけい
刑,けいむしょのけい
兄,あにおとうとのあに
啓,けいはつのけい
圭,つちふたつのけい
珪,おうへんにつちふたつのけい，けいそうどのけい
型,もけいのけい，かた
契,けいやくするのけい
形,ちょうほうけいのけい，かたち
径,えんのはんけいのけい
恵,めぐむ，ちえのえ
慶,けいちょうきゅうかのけい，よろこぶ
慧,けいがんのけい，さとい
憩,きゅうけいのけい，いこう
掲,けいじばんのけい，かかげる
携,けいたいのけい，たずさえる
敬,そんけいのけい，うやまう
景,ふうけいのけい
桂,げっけいじゅのけい，かつら
渓,けいりゅうづりのけい
畦,あぜみちのあぜ，たにつちふたつ
稽,けいこする
系,たいようけいのけい
経,けいけんするのけい
継,けいぞくするのけい，つぐ
繋,けいりゅうするのけい，つなぐ
罫,けいせんをひくのけい
茎,くき，ちかけいのけい
荊,くさかんむりにけいむしょのけい，いばら
蛍,ほたる，けいこうとうのけい
計,とけいのけい，はかる
詣,もうでる，さんけいするのけい
警,けいさつのけい
軽,かるいおもいのかるい，けい
頚,くび，けい
鶏,にわとり，ようけいのけい
芸,げいじゅつのげい
迎,かんげいするのげい，むかえる
鯨,くじら，ほげいのげい
劇,にんぎょうげきのげき
戟,しげきするのげき，ほこ
撃,こうげきのげき，うつ
激,かげきのげき，はげしい
隙,すきまのすき，げき
桁,けたはずれのけた
傑,ごうけつのけつ
欠,ほけつのけつ，かける
決,たすうけつのけつ，きめる
潔,せいけつのけつ
穴,あなをほるのあな
結,けつろんのけつ
血,けつえきのけつ，ち
訣,けつべつのけつ，わかれる
月,げつようびのげつ，つき
件,じょうけんのけん
倹,けんやくするのけん
倦,けんたいかんのけん，うむ
健,けんこうのけん，すこやか
兼,かねる，けんぎょうのけん
券,じょうしゃけんのけん
剣,けんどうのけん，つるぎ
喧,けんかりょうせいばいのけん
圏,しゅとけんのけん
堅,けんじつなのけん，かたい
嫌,きらう，けんおのけん
建,けんちくのけん，たてる
憲,けんぽうきねんびのけん
懸,いっしょうけんめいのけん，かける
拳,けんじゅうのけん，こぶし
捲,まくる，けんどじゅうらいのけん
検,けんさのけん
権,けんりのけん
牽,けんいんするのけん
犬,いぬ，もうどうけんのけん
献,けんけつするのけん
研,けんきゅうのけん
硯,すずり
絹,きぬいとのきぬ
県,とどうふけんのけん
肩,かたこりのかた，けん
見,みる，けんぶつのけん
謙,けんそんするのけん
賢,けんじゃのけん，かしこい
軒,いっけんやのけん，のき
遣,はけんするのけん，つかわす
鍵,かぎ，けんばんのけん
険,ぼうけんのけん，けわしい
顕,けんびきょうのけん，あきらか
験,にゅうがくしけんのけん
鹸,こなせっけんのけん
元,げんきのげん，もと
原,げんいんのげん，はら
厳,げんじゅうなのげん，きびしい
幻,まぼろし，げんそうのげん
弦,げんがっきのげん，つる
減,げんしょうするのげん，へる
源,すいげんのげん，みなもと
玄,げんまいのげん
現,げんじつのげん，あらわれる
絃,げん，いとへんにげんまいのげん
舷,うげんさげんのげん，ふなばた
言,げんごのげん，いう
諺,ことわざ，げん
限,げんかいのげん，かぎる
乎,こ，よぶのつくり
個,こせいてきのこ
古,ふるい，こだいのこ
呼,こきゅうするのこ，よぶ
固,こたいのこ，かたい
姑,こそくのこ，しゅうとめ
孤,こどくのこ
己,じこしょうかいのこ，おのれ
庫,れいぞうこのこ
弧,こをえがくのこ
戸,とじまりのと，こ
故,こきょうのこ，ゆえ
枯,かれる，こかつするのこ
湖,こはんのこ，みずうみ
狐,きつね
糊,のりづけののり，こ
袴,はおりはかまのはかま
股,こかんせつのこ，また
胡,くろこしょうのこ
菰,こもかぶりのこも，くさかんむりにこどくのこ
虎,とら，もうこのこ
誇,ほこり，こちょうするのこ
跨,こせんきょうのこ，またぐ
鈷,かねへんにふるいのこ
