漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
弦,ゲンガッキノゲン，ツル,げんがっきのげん，つる
減,ゲンショウスルノゲン，ヘル,げんしょうするのげん，へる
源,スイゲンノゲン，ミナモト,すいげんのげん，みなもと
玄,ゲンマイノゲン,げんまいのげん
現,ゲンジツノゲン，アラワレル,げんじつのげん，あらわれる
絃,ゲン，イトヘンニゲンマイノゲン,げん，いとへんにげんまいのげん
舷,ウゲンサゲンノゲン，フナバタ,うげんさげんのげん，ふなばた
言,ゲンゴノゲン，イウ,げんごのげん，いう
諺,コトワザ，ゲン,ことわざ，げん
限,ゲンカイノゲン，カギル,げんかいのげん，かぎる
乎,コ，ヨブノツクリ,こ，よぶのつくり
個,コセイテキノコ,こせいてきのこ
古,フルイ，コダイノコ,ふるい，こだいのこ
呼,コキュウスルノコ，ヨブ,こきゅうするのこ，よぶ
固,コタイノコ，カタイ,こたいのこ，かたい
姑,コソクノコ，シュウトメ,こそくのこ，しゅうとめ
孤,コドクノコ,こどくのこ
己,ジコショウカイノコ，オノレ,じこしょうかいのこ，おのれ
庫,レイゾウコノコ,れいぞうこのこ
弧,コヲエガクノコ,こをえがくのこ
戸,トジマリノト，コ,とじまりのと，こ
故,コキョウノコ，ユエ,こきょうのこ，ゆえ
枯,カレル，コカツスルノコ,かれる，こかつするのこ
湖,コハンノコ，ミズウミ,こはんのこ，みずうみ
狐,キツネ,きつね
糊,ノリヅケノノリ，コ,のりづけののり，こ
袴,ハオリハカマノハカマ,はおりはかまのはかま
股,コカンセツノコ，マタ,こかんせつのこ，また
胡,クロコショウノコ,くろこしょうのこ
菰,コモカブリノコモ，クサカンムリニコドクノコ,こもかぶりのこも，くさかんむりにこどくのこ
虎,トラ，モウコノコ,とら，もうこのこ
誇,ホコリ，コチョウスルノコ,ほこり，こちょうするのこ
跨,コセンキョウノコ，マタグ,こせんきょうのこ，またぐ
鈷,カネヘンニフルイノコ,かねへんにふるいのこ
雇,ヤトウ，コヨウスルノコ,やとう，こようするのこ
顧,コモンノコ，カエリミル,こもんのこ，かえりみる
鼓,タイコノコ，ツヅミ,たいこのこ，つづみ
五,カンスウジノゴ,かんすうじのご
互,ゴカクノゴ，タガイ,ごかくのご，たがい
伍,ラクゴスルノゴ，ニンベンニカンスウジノゴ,らくごするのご，にんべんにかんすうじのご
午,ショウゴノゴ,しょうごのご
呉,ゴフクヤノゴ，クレ,ごふくやのご，くれ
吾,ワレ，ゴ，カンスウジノゴノシタニクチ,われ，ご，かんすうじのごのしたにくち
娯,ゴラクノゴ,ごらくのご
後,ウシロ，ゼンゴノゴ,うしろ，ぜんごのご
御,オンチュウノオン，ゴハンノゴ,おんちゅうのおん，ごはんのご
悟,サトル，カクゴノゴ,さとる，かくごのご
梧,ゴ，キヘンニワレ，アオギリ,ご，きへんにわれ，あおぎり
檎,リンゴノゴ,りんごのご
瑚,サンゴショウノゴ,さんごしょうのご
碁,ゴイシノゴ,ごいしのご
語,コクゴノゴ，カタル,こくごのご，かたる
誤,ゴカイスルノゴ，アヤマリ,ごかいするのご，あやまり
護,ホゴシャノゴ,ほごしゃのご
醐,ダイゴミノゴ,だいごみのご
乞,コウ，アマゴイスルノコウ,こう，あまごいするのこう
鯉,コイノボリノコイ,こいのぼりのこい
交,コウツウノコウ，マジワル,こうつうのこう，まじわる
佼,ニンベンニマジワルノコウ,にんべんにまじわるのこう
侯,オウコウキゾクノコウ,おうこうきぞくのこう
候,リッコウホノコウ,りっこうほのこう
倖,ギョウコウノコウ，ニンベンニサチ,ぎょうこうのこう，にんべんにさち
光,ヒカリ，ニッコウノコウ,ひかり，にっこうのこう
公,シュジンコウノコウ，オオヤケ,しゅじんこうのこう，おおやけ
功,フセイコウノコウ,ふせいこうのこう
効,コウカテキノコウ,こうかてきのこう
勾,キュウコウバイノコウ,きゅうこうばいのこう
厚,アツガミノアツ,あつがみのあつ
口,クチブエノクチ，コウ,くちぶえのくち，こう
向,コウジョウスルノコウ，ムカウ,こうじょうするのこう，むかう
后,コウゴウノゴウ，キサキ,こうごうのごう，きさき
喉,ノドボトケノノド，コウ,のどぼとけののど，こう
坑,タンコウノコウ，アナ,たんこうのこう，あな
垢,テアカノアカ，コウ,てあかのあか，こう
好,ダイスキノスキ，コウ,だいすきのすき，こう
孔,コウシモウシノコウ,こうしもうしのこう
孝,オヤフコウノコウ,おやふこうのこう
宏,ウカンムリニナムノコウ,うかんむりになむのこう
工,ズコウノコウ,ずこうのこう
巧,ギコウテキナノコウ，タクミ,ぎこうてきなのこう，たくみ
巷,チマタノコエノチマタ，コウ,ちまたのこえのちまた，こう
幸,コウフクノコウ，シアワセ,こうふくのこう，しあわせ
広,ヒロバノヒロ，コウ,ひろばのひろ，こう
庚,コウシンヅカノコウ，カノエ,こうしんづかのこう，かのえ
康,ケンコウノコウ，イエヤスノヤス,けんこうのこう，いえやすのやす
弘,コウボウタイシノコウ，ヒロイ,こうぼうたいしのこう，ひろい
恒,コウオンドウブツノコウ，ツネニ,こうおんどうぶつのこう，つねに
慌,アワテル，キョウコウノコウ,あわてる，きょうこうのこう
抗,テイコウスルノコウ,ていこうするのこう
拘,コウソクジカンノコウ,こうそくじかんのこう
控,コウジョスルノコウ，ヒカエル,こうじょするのこう，ひかえる
攻,コウゲキノコウ，セメル,こうげきのこう，せめる
昂,ゲキコウスルノコウ,げきこうするのこう
晃,ニチヨウビノニチノシタニヒカリ，アキラ,にちようびのにちのしたにひかり，あきら
更,ヘンコウノコウ，サラニ,へんこうのこう，さらに
杭,クイヲウツノクイ,くいをうつのくい
校,ガッコウノコウ,がっこうのこう
梗,ノウコウソクノコウ,のうこうそくのこう
構,コウゾウノコウ，カマエル,こうぞうのこう，かまえる
江,エドジダイノエ,えどじだいのえ
洪,コウズイノコウ,こうずいのこう
浩,コウゼンノコウ，サンズイニツゲル,こうぜんのこう，さんずいにつげる
港,クウコウノコウ，ミナト,くうこうのこう，みなと
溝,ミゾ，ハイスイコウノコウ,みぞ，はいすいこうのこう
甲,コウオツノコウ,こうおつのこう
皇,コウタイシノコウ,こうたいしのこう
硬,ヒャクエンコウカノコウ，カタイ,ひゃくえんこうかのこう，かたい
稿,ゲンコウヨウシノコウ,げんこうようしのこう
糠,ヌカヅケノヌカ,ぬかづけのぬか
紅,コウチャノコウ，ベニ,こうちゃのこう，べに
紘,ハッコウイチウノコウ,はっこういちうのこう
絞,シボル，コウシュケイノコウ,しぼる，こうしゅけいのこう
綱,ツナヒキノツナ，コウ,つなひきのつな，こう
耕,タガヤス，ノウコウノコウ,たがやす，のうこうのこう
考,カンガエル，サンコウショノコウ,かんがえる，さんこうしょのこう
肯,コウテイヒテイノコウ,こうていひていのこう
肱,ココウノシンノコウ，ヒジ,ここうのしんのこう，ひじ
腔,コウクウゲカノクウ，ニクヅキニソラ,こうくうげかのくう，にくづきにそら
膏,ナンコウヲヌルノコウ,なんこうをぬるのこう
航,コウクウキノコウ,こうくうきのこう
荒,アレル，コウヤノコウ,あれる，こうやのこう
行,リョコウノコウ，イク,りょこうのこう，いく
衡,ヘイコウカンカクノコウ,へいこうかんかくのこう
講,コウシュウカイノコウ,こうしゅうかいのこう
貢,シャカイコウケンスルノコウ，ミツグ,しゃかいこうけんするのこう，みつぐ
購,コウニュウスルノコウ,こうにゅうするのこう
郊,トウキョウキンコウノコウ,とうきょうきんこうのこう
酵,コウボキンノコウ,こうぼきんのこう
鉱,テッコウセキノコウ,てっこうせきのこう
砿,イシヘンニヒロイノコウ,いしへんにひろいのこう
鋼,コウテツノコウ，ハガネ,こうてつのこう，はがね
閤,タイコウキノコウ,たいこうきのこう
降,ユキガフルノフル，コウ,ゆきがふるのふる，こう
項,コウモクノコウ，キョウツウコウノコウ,こうもくのこう，きょうつうこうのこう
香,コウシンリョウノコウ，カオリ,こうしんりょうのこう，かおり
高,タカイ，サイコウノコウ,たかい，さいこうのこう
鴻,コウコクノココロザシノコウ，オオトリ,こうこくのこころざしのこう，おおとり
剛,シツジツゴウケンノゴウ,しつじつごうけんのごう
劫,ミライエイゴウノゴウ,みらいえいごうのごう
号,バンゴウノゴウ,ばんごうのごう
合,ゴウカクノゴウ，アウ,ごうかくのごう，あう
壕,ボウクウゴウノゴウ,ぼうくうごうのごう
拷,ゴウモンスルノゴウ,ごうもんするのごう
濠,ゴウ，サンズイニゴウカイナノゴウ,ごう，さんずいにごうかいなのごう
豪,ゴウカイナノゴウ,ごうかいなのごう
轟,ゴウオンノゴウ，トドロク,ごうおんのごう，とどろく
麹,コウジキンノコウジ,こうじきんのこうじ
克,コクフクスルノコク，カツ,こくふくするのこく，かつ
刻,ジコクノコク，キザム,じこくのこく，きざむ
告,コウコクノコク，ツゲル,こうこくのこく，つげる
国,コクゴノコク，クニ,こくごのこく，くに
穀,コクモツノコク,こくもつのこく
酷,ザンコクノコク，ヒドイ,ざんこくのこく，ひどい
鵠,コウコクノココロザシノコク,こうこくのこころざしのこく
黒,コクバンノコク，クロ,こくばんのこく，くろ
獄,ジゴクノゴク,じごくのごく
漉,チャコシノコス,ちゃこしのこす
腰,ヨウツウノヨウ，コシ,ようつうのよう，こし
甑,モノヲムスコシキ,ものをむすこしき
忽,コツゼンノコツ，タチマチ,こつぜんのこつ，たちまち
惚,ホレル，コウコツノコツ,ほれる，こうこつのこつ
骨,ガイコツノコツ，ホネ,がいこつのこつ，ほね
狛,コマイヌノコマ，ケモノヘンニシロ,こまいぬのこま，けものへんにしろ
込,モウシコムノコム,もうしこむのこむ
此,ヒガンシガンノシ，コノ,ひがんしがんのし，この
頃,コロアイノコロ,ころあいのころ
今,コンゲツノコン，イマ,こんげつのこん，いま
困,コンナンノコン，コマル,こんなんのこん，こまる
坤,ケンコンノコン，ツチヘンニモウス,けんこんのこん，つちへんにもうす
墾,カイコンチノコン,かいこんちのこん
婚,ケッコンスルノコン,けっこんするのこん
恨,ウラミ，ツウコンノコン,うらみ，つうこんのこん
懇,コンシンカイノコン，ネンゴロ,こんしんかいのこん，ねんごろ
昏,コンスイスルノコン,こんすいするのこん
昆,コンチュウノコン,こんちゅうのこん
根,ダイコンノコン，ネ,だいこんのこん，ね
梱,コンポウスルノコン,こんぽうするのこん
混,コンザツノコン,こんざつのこん
痕,コンセキヲノコスノコン,こんせきをのこすのこん
紺,コンイロノコン,こんいろのこん
艮,ウシトラノコン,うしとらのこん
魂,タマシイ，シンコンノコン,たましい，しんこんのこん
些,ササイノサ，イササカ,ささいのさ，いささか
佐,ホサスルノサ,ほさするのさ
叉,ヤシャノシャ,やしゃのしゃ
唆,シサスルノサ,しさするのさ
嵯,サガテンノウノサ,さがてんのうのさ
左,ヒダリ，サユウノサ,ひだり，さゆうのさ
差,サベツカスルノサ,さべつかするのさ
査,ケンサノサ,けんさのさ
沙,ゴブサタノサ，サンズイニスクナイ,ごぶさたのさ，さんずいにすくない
瑳,セッサタクマノサ，オウヘンニサ,せっさたくまのさ，おうへんにさ
砂,サトウノサ，スナ,さとうのさ，すな
詐,サギシノサ,さぎしのさ
鎖,サコクノサ，クサリ,さこくのさ，くさり
裟,オボウサンノケサノサ,おぼうさんのけさのさ
坐,ザセキノザカラマダレヲトッタザ，スワル,ざせきのざからまだれをとったざ，すわる
座,ザセキノザ，スワル,ざせきのざ，すわる
挫,ネンザノザ，クジク,ねんざのざ，くじく
債,サイムヲオウノサイ,さいむをおうのさい
催,モヨオス，カイサイノサイ,もよおす，かいさいのさい
再,フタタビ，サイ,ふたたび，さい
最,サイショノサイ，モットモ,さいしょのさい，もっとも
哉,ゼンザイノサイ，カナ,ぜんざいのさい，かな
塞,ノウコウソクノソク，フサガル,のうこうそくのそく，ふさがる
妻,フサイノサイ，ツマ,ふさいのさい，つま
宰,ソウリヲイミスルサイショウノサイ,そうりをいみするさいしょうのさい
彩,シキサイノサイ，イロドル,しきさいのさい，いろどる
才,サイノウノサイ,さいのうのさい
採,サイヨウノサイ，トル,さいようのさい，とる
栽,サイバイスルノサイ,さいばいするのさい
歳,サイゲツノサイ，トシ,さいげつのさい，とし
済,キュウサイスルノサイ，スマス,きゅうさいするのさい，すます
災,サイナンノサイ，ワザワイ,さいなんのさい，わざわい
采,ハクシュカッサイノサイ,はくしゅかっさいのさい
犀,ドウブツノサイ,どうぶつのさい
砕,クダク，フンサイスルノサイ,くだく，ふんさいするのさい
砦,トリデ，コレノシタニイシ,とりで，これのしたにいし
祭,サイジツノサイ，マツリ,さいじつのさい，まつり
斎,ショサイニコモルノサイ,しょさいにこもるのさい
細,ホソイフトイノホソイ，サイ,ほそいふといのほそい，さい
菜,ヤサイノサイ，ナ,やさいのさい，な
裁,サイバンノサイ，サバク,さいばんのさい，さばく
載,レンサイノサイ，ノセル,れんさいのさい，のせる
際,ジッサイノサイ,じっさいのさい
剤,ヤクザイシノザイ,やくざいしのざい
在,ソンザイノザイ,そんざいのざい
材,ザイリョウノザイ,ざいりょうのざい
罪,ハンザイノザイ，ツミ,はんざいのざい，つみ
財,ザイサンノザイ,ざいさんのざい
冴,メガサエルノサエル,めがさえるのさえる
坂,サカミチノサカ,さかみちのさか
阪,オオサカノサカ，ハン,おおさかのさか，はん
堺,オオサカフサカイシノサカイ,おおさかふさかいしのさかい
榊,ショクブツノサカキ，キヘンニカミサマノカミ,しょくぶつのさかき，きへんにかみさまのかみ
肴,シュコウノコウ，サカナ,しゅこうのこう，さかな
咲,ハナガサクノサク,はながさくのさく
崎,ナガサキノサキ,ながさきのさき
埼,サイタマケンノイチモジメノサキ,さいたまけんのいちもじめのさき
碕,イシヘンニキミョウナノキ,いしへんにきみょうなのき
鷺,シラサギノサギ,しらさぎのさぎ
作,サクブンノサク，ツクル,さくぶんのさく，つくる
削,サクゲンスルノサク，ケズル,さくげんするのさく，けずる
咋,サクネンノサクノヒヘンノカワリニクチヘン,さくねんのさくのひへんのかわりにくちへん
搾,サクシュノサク，シボル,さくしゅのさく，しぼる
昨,サクネンノサク,さくねんのさく
朔,サクジツノサク，ツイタチ,さくじつのさく，ついたち
柵,サクデカコムノサク,さくでかこむのさく
窄,シヤキョウサクノサク，スボマル,しやきょうさくのさく，すぼまる
策,サクリャクノサク,さくりゃくのさく
索,サクインノサク,さくいんのさく
錯,サクランスルノサク,さくらんするのさく
桜,サクラ,さくら
鮭,サケ，サカナヘンニツチフタツ,さけ，さかなへんにつちふたつ
笹,ショクブツノササ,しょくぶつのささ
匙,サジカゲンノサジ,さじかげんのさじ
冊,イッサツニサツノサツ,いっさつにさつのさつ
刷,インサツノサツ，スル,いんさつのさつ，する
察,ケイサツノサツ,けいさつのさつ
拶,アイサツノサツ,あいさつのさつ
撮,サツエイスルノサツ，トル,さつえいするのさつ，とる
擦,マサツノサツ，スル,まさつのさつ，する
札,ナフダノフダ，サツ,なふだのふだ，さつ
殺,サツジンノサツ，コロス,さつじんのさつ，ころす
薩,サツマハンノサツ,さつまはんのさつ
雑,ザツオンノザツ,ざつおんのざつ
皐,ショクブツノサツキ,しょくぶつのさつき
鯖,サバ，サカナヘンニアオ,さば，さかなへんにあお
捌,ウリサバクノサバク，テヘンニワカレル,うりさばくのさばく，てへんにわかれる
錆,サビドメノサビ,さびどめのさび
鮫,サメ，サカナヘンニマジワル,さめ，さかなへんにまじわる
皿,サラウドンノサラ,さらうどんのさら
晒,サラシモメンノサラシ,さらしもめんのさらし
三,カンスウジノサン,かんすうじのさん
傘,ラッカサンノサン，カサ,らっかさんのさん，かさ
参,サンカスルノサン，マイル,さんかするのさん，まいる
山,ヤマ，サンミャクノサン,やま，さんみゃくのさん
惨,ザンパイスルノザン，ミジメ,ざんぱいするのざん，みじめ
撒,ミズヲマクノマク，サン,みずをまくのまく，さん
散,サンポノサン，チル,さんぽのさん，ちる
桟,サンバシノサン,さんばしのさん
燦,サンゼントカガヤクノサン,さんぜんとかがやくのさん
珊,サンゴショウノサン,さんごしょうのさん
産,ザイサンノサン,ざいさんのさん
算,サンスウノサン,さんすうのさん
纂,ジショヲヘンサンスルノサン,じしょをへんさんするのさん
蚕,ヨウサンノサン，カイコ,ようさんのさん，かいこ
讃,ゴンベンノツイタサンビカノサン,ごんべんのついたさんびかのさん
賛,サンセイスルノサン,さんせいするのさん
酸,サンソノサン,さんそのさん
餐,バンサンノサン,ばんさんのさん
斬,ザンシンナノザン，キル,ざんしんなのざん，きる
暫,ザンテイテキノザン，シバラク,ざんていてきのざん，しばらく
残,ザンネンノザン，ノコル,ざんねんのざん，のこる
仕,シゴトノシ，ツカエル,しごとのし，つかえる
仔,シサイナノシ，ニンベンニコドモノコ,しさいなのし，にんべんにこどものこ
伺,シンタイウカガイノウカガイ,しんたいうかがいのうかがい
使,シヨウスルノシ，ツカウ,しようするのし，つかう
刺,シゲキスルノシ，サス,しげきするのし，さす
司,シカイシャノシ,しかいしゃのし
史,レキシテキノシ,れきしてきのし
嗣,ヨツギノツギ，セイシノシ,よつぎのつぎ，せいしのし
四,カンスウジノヨン,かんすうじのよん
士,ベンゴシノシ,べんごしのし
始,カイシスルノシ，ハジメル,かいしするのし，はじめる
姉,アネ，シマイノシ,あね，しまいのし
姿,スガタ，シセイノシ,すがた，しせいのし
子,コドモノコ,こどものこ
屍,シカバネ,しかばね
市,シヤクショノシ，イチ,しやくしょのし，いち
師,ボクシノシ,ぼくしのし
志,ココロザス，イシノシ,こころざす，いしのし
思,フシギノシ，オモウ,ふしぎのし，おもう
指,シドウスルノシ，ユビ,しどうするのし，ゆび
支,シエンスルノシ，ササエル,しえんするのし，ささえる
孜,ツトム，コヘンニノブン,つとむ，こへんにのぶん
斯,シカイノケンイノシ，カク,しかいのけんいのし，かく
施,シセツノシ，ホドコス,しせつのし，ほどこす
旨,ロンシヲノベルノシ，ムネ,ろんしをのべるのし，むね
枝,キノエダノエダ,きのえだのえだ
止,キンシスルノシ，トメル,きんしするのし，とめる
死,シボウノシ，シヌ,しぼうのし，しぬ
氏,シメイノシ，ウジ,しめいのし，うじ
獅,シシマイノイチモジメノシ,ししまいのいちもじめのし
祉,シャカイフクシノシ,しゃかいふくしのし
私,シテツノシ，ワタシ,してつのし，わたし
糸,ケイトノイト，シ,けいとのいと，し
紙,ガヨウシノシ，カミ,がようしのし，かみ
紫,シガイセンノシ，ムラサキ,しがいせんのし，むらさき
肢,センタクシノシ,せんたくしのし
脂,シボウノシ，アブラ,しぼうのし，あぶら
至,シキュウノシ，イタル,しきゅうのし，いたる
視,シリョクケンサノシ,しりょくけんさのし
詞,サクシサッキョクノシ,さくしさっきょくのし
詩,シヲツクルノシ,しをつくるのし
試,シアイノシ，ココロミル,しあいのし，こころみる
誌,ザッシノシ,ざっしのし
諮,シモンスルノシ，ハカル,しもんするのし，はかる
資,シゲンノシ,しげんのし
賜,オンシノシ，タマワル,おんしのし，たまわる
雌,オスメスノメス，シ,おすめすのめす，し
飼,シイクノシ，カウ,しいくのし，かう
歯,ハブラシノハ，シ,はぶらしのは，し
事,ジケンノジ，コト,じけんのじ，こと
似,ルイジノジ，ニル,るいじのじ，にる
侍,ジジュウノジ，サムライ,じじゅうのじ，さむらい
児,ジドウセイトノジ,じどうせいとのじ
字,ローマジノジ,ろーまじのじ
寺,テラ，ジインノジ,てら，じいんのじ
慈,ジヒブカイノジ，イツクシム,じひぶかいのじ，いつくしむ
持,ジゾクスルノジ，モツ,じぞくするのじ，もつ
時,ジカンノジ，トキ,じかんのじ，とき
次,モクジノジ，ツギ,もくじのじ，つぎ
滋,ジヨウキョウソウノジ,じようきょうそうのじ
治,セイジノジオサメル,せいじのじおさめる
爾,ソツジナガラノジ，ナンジ,そつじながらのじ，なんじ
璽,ギョメイギョジノジ,ぎょめいぎょじのじ
痔,イボジノジ,いぼじのじ
磁,ジシャクノジ,じしゃくのじ
示,テンジスルノジ，シメス,てんじするのじ，しめす
而,シコウシテ，ケイジジョウノジ,しこうして，けいじじょうのじ
耳,ミミ，ジビカノジ,みみ，じびかのじ
自,ジテンシャノジ，ミズカラ,じてんしゃのじ，みずから
蒔,タネヲマクノマク,たねをまくのまく
辞,コクゴジテンノジ,こくごじてんのじ
汐,チョウセキノセキ，シオ,ちょうせきのせき，しお
鹿,ドウブツノシカ,どうぶつのしか
式,ニュウガクシキノシキ,にゅうがくしきのしき
識,チシキノシキ,ちしきのしき
鴫,シギヤキノシギ,しぎやきのしぎ
竺,テンジクノジク,てんじくのじく
軸,カケジクノジク,かけじくのじく
宍,シシ，ウカンムリニカンスウジノロク,しし，うかんむりにかんすうじのろく
雫,シズク，アメカンムリニシタ,しずく，あめかんむりにした
七,カンスウジノナナ,かんすうじのなな
叱,シカル，シッセキスルノシツ,しかる，しっせきするのしつ
執,シツジノシツ，トル,しつじのしつ，とる
失,シツレンノシツウシナウ,しつれんのしつうしなう
嫉,シットスルノシツ，ソネム,しっとするのしつ，そねむ
室,キョウシツノシツ,きょうしつのしつ
悉,シッカイノシツ，コトゴトク,しっかいのしつ，ことごとく
湿,シツドノシツ，シメル,しつどのしつ，しめる
漆,ウルシヌリノウルシ，シツ,うるしぬりのうるし，しつ
疾,シッペイノシツ,しっぺいのしつ
質,シツモンノシツ,しつもんのしつ
実,ジツリョクノジツ，ミ,じつりょくのじつ，み
蔀,シトミ，クサカンムリニブチョウノブ,しとみ，くさかんむりにぶちょうのぶ
篠,シノダケノシノ,しのだけのしの
偲,コジンヲシノブノシノブ,こじんをしのぶのしのぶ
柴,シバイヌノシバ，タキギノシバ,しばいぬのしば，たきぎのしば
芝,シバフノシバ,しばふのしば
屡,シバシバ,しばしば
蕊,メシベノシベ，ズイ,めしべのしべ，ずい
縞,シマモヨウノシマ,しまもようのしま
舎,ガッコウノコウシャノシャ,がっこうのこうしゃのしゃ
写,シャシンノシャ，ウツス,しゃしんのしゃ，うつす
射,ハンシャノシャ,はんしゃのしゃ
捨,シシャゴニュウノシャ，ステル,ししゃごにゅうのしゃ，すてる
赦,オンシャノシャ，ユルス,おんしゃのしゃ，ゆるす
斜,ナナメ，シャメンノシャ,ななめ，しゃめんのしゃ
煮,ニモノノニ，シャフツノシャ,にもののに，しゃふつのしゃ
社,シャカイノシャ，ヤシロ,しゃかいのしゃ，やしろ
紗,オリモノノシャ，イトヘンニスクナイ,おりもののしゃ，いとへんにすくない
者,ガクシャノシャ，モノ,がくしゃのしゃ，もの
謝,カンシャスルノシャ,かんしゃするのしゃ
車,クルマ，デンシャノシャ,くるま，でんしゃのしゃ
遮,シャダンスルノシャ，サエギル,しゃだんするのしゃ，さえぎる
蛇,ヘビ，ダイジャノジャ,へび，だいじゃのじゃ
邪,ジャマノジャ，ヨコシマ,じゃまのじゃ，よこしま
借,シャクヨウノシャクカリル,しゃくようのしゃくかりる
勺,ヨウセキノタンイノシャク，ツツミガマエニテン,ようせきのたんいのしゃく，つつみがまえにてん
尺,シャクハチノシャク,しゃくはちのしゃく
杓,シャクシジョウギノシャク,しゃくしじょうぎのしゃく
灼,シャクネツノシャク,しゃくねつのしゃく
爵,ハクシャクノシャク,はくしゃくのしゃく
酌,バンシャクノシャク,ばんしゃくのしゃく
釈,シャクホウスルノシャク,しゃくほうするのしゃく
錫,キンゾクノスズ，シャク,きんぞくのすず，しゃく
若,ワカモノノワカ,わかもののわか
寂,セイジャクノジャク，サビシイ,せいじゃくのじゃく，さびしい
弱,キョウジャクノジャク，ヨワイ,きょうじゃくのじゃく，よわい
惹,ジャッキスルノジャク，ヒク,じゃっきするのじゃく，ひく
主,シュジンコウノシュ，ヌシ,しゅじんこうのしゅ，ぬし
取,シュザイノシュ，トル,しゅざいのしゅ，とる
守,シュビノシュ，マモル,しゅびのしゅ，まもる
手,テアシノテ，シュ,てあしのて，しゅ
朱,シュイロノシュ,しゅいろのしゅ
殊,トクシュノシュ，コトニ,とくしゅのしゅ，ことに
狩,シュリョウノシュ，カリ,しゅりょうのしゅ，かり
珠,シュザンノシュ，タマ,しゅざんのしゅ，たま
種,シュルイノシュ，タネ,しゅるいのしゅ，たね
腫,シュヨウノシュ，ハレル,しゅようのしゅ，はれる
趣,シュミノシュ，オモムキ,しゅみのしゅ，おもむき
酒,サケ，ニホンシュノシュ,さけ，にほんしゅのしゅ
首,シュトノシュ，クビ,しゅとのしゅ，くび
儒,ジュガクノジュ,じゅがくのじゅ
受,ジュケンノジュ，ウケル,じゅけんのじゅ，うける
呪,ノロウ，ジュモンノジュ,のろう，じゅもんのじゅ
寿,コトブキ，ジュミョウノジュ,ことぶき，じゅみょうのじゅ
授,ジュギョウノジュ，サズケル,じゅぎょうのじゅ，さずける
樹,ジュモクノジュ,じゅもくのじゅ
綬,シジュホウショウノジュ，イトヘンニウケル,しじゅほうしょうのじゅ，いとへんにうける
需,ヒツジュヒンノジュ,ひつじゅひんのじゅ
囚,シュウジンノシュウ，トラワレル,しゅうじんのしゅう，とらわれる
収,シュウニュウノシュウ，オサメル,しゅうにゅうのしゅう，おさめる
周,シュウヘンノシュウ，マワリ,しゅうへんのしゅう，まわり
宗,シュウキョウカイカクノシュウ,しゅうきょうかいかくのしゅう
就,シュウショクノシュウ，ツク,しゅうしょくのしゅう，つく
州,キュウシュウチホウノシュウ,きゅうしゅうちほうのしゅう
修,シュウリスルノシュウ,しゅうりするのしゅう
愁,アイシュウノシュウ，ウレイ,あいしゅうのしゅう，うれい
拾,オカネヲヒロウノヒロウ,おかねをひろうのひろう
洲,サンカクスノス，サンズイツキ,さんかくすのす，さんずいつき
秀,シュウサイノシュウ，ヒイデル,しゅうさいのしゅう，ひいでる
秋,アキマツリノアキ，シュウ,あきまつりのあき，しゅう
終,シュウギョウシキノシュウ，オワル,しゅうぎょうしきのしゅう，おわる
繍,シシュウスルノシュウ,ししゅうするのしゅう
習,レンシュウノシュウ，ナラウ,れんしゅうのしゅう，ならう
臭,クサイ，アクシュウ,くさい，あくしゅう
舟,ゴエツドウシュウノシュウ，フネ,ごえつどうしゅうのしゅう，ふね
蒐,クサカンムリニオニノシュウ,くさかんむりにおにのしゅう
衆,シュウギインノシュウ,しゅうぎいんのしゅう
襲,シュウゲキノシュウ，オソウ,しゅうげきのしゅう，おそう
讐,フクシュウスルノシュウ，アダ,ふくしゅうするのしゅう，あだ
蹴,ケル，シュウキュウノシュウ,ける，しゅうきゅうのしゅう
輯,ヘンシュウノシュウ，クルマヘンニクチニミミ,へんしゅうのしゅう，くるまへんにくちにみみ
週,イッシュウカンノシュウ,いっしゅうかんのしゅう
酋,シュウチョウノシュウ,しゅうちょうのしゅう
酬,ホウシュウノシュウ,ほうしゅうのしゅう
集,シュウゴウスルノシュウ，アツマル,しゅうごうするのしゅう，あつまる
醜,シュウタイノシュウ，ミニクイ,しゅうたいのしゅう，みにくい
什,ジュウキノジュウ，ニンベンニカンスウジノジュウ,じゅうきのじゅう，にんべんにかんすうじのじゅう
住,ジュウショノジュウ，スム,じゅうしょのじゅう，すむ
充,ジュウジツノジュウ,じゅうじつのじゅう
十,カンスウジノジュウ,かんすうじのじゅう
従,ジュウジスルノジュウ，シタガウ,じゅうじするのじゅう，したがう
戎,エビス，ホコガマエノジュウ,えびす，ほこがまえのじゅう
柔,ジュウドウノジュウ，ヤワラカイ,じゅうどうのじゅう，やわらかい
汁,ミソシルノシル，カジュウノジュウ,みそしるのしる，かじゅうのじゅう
渋,ジュウタイスルノジュウ，シブイ,じゅうたいするのじゅう，しぶい
獣,ヤジュウノジュウ，ケモノ,やじゅうのじゅう，けもの
縦,タテヨコノタテ，ジュウ,たてよこのたて，じゅう
重,タイジュウノジュウ，オモイ,たいじゅうのじゅう，おもい
銃,ケンジュウウノジュウ,けんじゅううのじゅう
叔,オジオバノシュク,おじおばのしゅく
夙,ツトニ，シュク,つとに，しゅく
宿,シュクハクノシュク，ヤド,しゅくはくのしゅく，やど
淑,シュクジョノシュク,しゅくじょのしゅく
