配当学年,漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
1,一,カンスウジノイチ,かんすうじのいち
1,右,ミギ，サユウノユウ,みぎ，さゆうのゆう
1,雨,アメ，ウテンノウ,あめ，うてんのう
1,円,ヒャクエンダマノエン,ひゃくえんだまのえん
1,王,オウサマノオウ,おうさまのおう
1,音,オト，オンガクノオン,おと，おんがくのおん
1,下,ジョウゲノゲ，シタ,じょうげのげ，した
1,火,カヨウビノカ，ヒ,かようびのか，ひ
1,花,ハナ，カビンノカ,はな，かびんのか
1,貝,カイガラノカイ,かいがらのかい
1,学,マナブ，ガクシュウノガク,まなぶ，がくしゅうのがく
1,気,クウキノキ,くうきのき
1,九,カンスウジノキュウ,かんすうじのきゅう
1,休,ヤスム，キュウジツノキュウ,やすむ，きゅうじつのきゅう
1,玉,ミズタマノタマ，ギョク,みずたまのたま，ぎょく
1,金,キンヨウビノキン，カネ,きんようびのきん，かね
1,空,クウキノクウ，ソラ,くうきのくう，そら
1,月,ゲツヨウビノゲツ，ツキ,げつようびのげつ，つき
1,犬,イヌ，モウドウケンノケン,いぬ，もうどうけんのけん
1,見,ミル，ケンブツノケン,みる，けんぶつのけん
1,五,カンスウジノゴ,かんすうじのご
1,口,クチブエノクチ，コウ,くちぶえのくち，こう
1,校,ガッコウノコウ,がっこうのこう
1,左,ヒダリ，サユウノサ,ひだり，さゆうのさ
1,三,カンスウジノサン,かんすうじのさん
1,山,ヤマ，サンミャクノサン,やま，さんみゃくのさん
1,子,コドモノコ,こどものこ
1,四,カンスウジノヨン,かんすうじのよん
1,糸,ケイトノイト，シ,けいとのいと，し
1,字,ローマジノジ,ろーまじのじ
1,耳,ミミ，ジビカノジ,みみ，じびかのじ
1,七,カンスウジノナナ,かんすうじのなな
1,車,クルマ，デンシャノシャ,くるま，でんしゃのしゃ
1,手,テアシノテ，シュ,てあしのて，しゅ
1,十,カンスウジノジュウ,かんすうじのじゅう
1,出,デル，ガイシュツノシュツ,でる，がいしゅつのしゅつ
1,女,オンナ，ジョシノジョ,おんな，じょしのじょ
1,小,ダイショウノショウ，チイサイ,だいしょうのしょう，ちいさい
1,上,ジョウゲノジョウ，ウエ,じょうげのじょう，うえ
1,森,シンリンノシン，モリ,しんりんのしん，もり
1,人,ヒト，ニンゲンノニン,ひと，にんげんのにん
1,水,スイヨウビノスイ，ミズ,すいようびのすい，みず
1,正,タダシイ，ショウガツノショウ,ただしい，しょうがつのしょう
1,生,イキル，セイカツノセイ,いきる，せいかつのせい
1,青,アオイ，セイシュンノセイ,あおい，せいしゅんのせい
1,夕,ユウガタノユウ,ゆうがたのゆう
1,石,ホウセキノセキ，イシ,ほうせきのせき，いし
1,赤,アカンボウノアカ，セキ,あかんぼうのあか，せき
1,千,カンスウジノセン,かんすうじのせん
1,川,カセンノセン，カワ,かせんのせん，かわ
1,先,センセイノセン，サキ,せんせいのせん，さき
1,早,ソウチョウノソウ，ハヤイ,そうちょうのそう，はやい
1,草,クサ，ソウゲンノソウ,くさ，そうげんのそう
1,足,アシ，エンソクノソク,あし，えんそくのそく
1,村,ムラ，シチョウソンノソン,むら，しちょうそんのそん
1,大,ダイショウノダイ，オオキイ,だいしょうのだい，おおきい
1,男,オトコ，ダンシノダン,おとこ，だんしのだん
1,竹,タケ，ショウチクバイノチク,たけ，しょうちくばいのちく
1,中,チュウガクノチュウ，ナカ,ちゅうがくのちゅう，なか
1,虫,ムシ，コンチュウノチュウ,むし，こんちゅうのちゅう
1,町,マチ，シチョウソンノチョウ,まち，しちょうそんのちょう
1,天,テンキヨホウノテン,てんきよほうのてん
1,田,スイデンノデン，タ,すいでんのでん，た
1,土,ドヨウビノド，ツチ,どようびのど，つち
1,二,カンスウジノニ,かんすうじのに
1,日,ニチヨウビノニチ，ヒ,にちようびのにち，ひ
1,入,ハイル，ニュウガクノニュウ,はいる，にゅうがくのにゅう
1,年,ガクネンノネン，トシ,がくねんのねん，とし
1,白,シロイ，ハクチョウノハク,しろい，はくちょうのはく
1,八,カンスウジノハチ,かんすうじのはち
1,百,カンスウジノヒャク,かんすうじのひゃく
1,文,サクブンノブン,さくぶんのぶん
1,木,モクヨウビノモク，キ,もくようびのもく，き
1,本,ホンモノノホン，モト,ほんもののほん，もと
1,名,ナマエノナ，メイ,なまえのな，めい
1,目,モクテキノモク，メ,もくてきのもく，め
1,立,ドクリツノリツ，タツ,どくりつのりつ，たつ
1,力,チカラ，タイリョクノリョク,ちから，たいりょくのりょく
1,林,シンリンノリン，ハヤシ,しんりんのりん，はやし
1,六,カンスウジノロク,かんすうじのろく
2,引,インヨウスルノイン，ヒク,いんようするのいん，ひく
2,羽,ハネ，ウモウノウ,はね，うもうのう
2,雲,クモノウエノクモ，ウン,くものうえのくも，うん
2,園,ドウブツエンノエン,どうぶつえんのえん
2,遠,エンソクノエン，トオイ,えんそくのえん，とおい
2,何,ナニモノノナニ,なにもののなに
2,科,キョウカショノカ,きょうかしょのか
2,夏,ナツヤスミノナツ，カ,なつやすみのなつ，か
2,家,イエ，カゾクノカ,いえ，かぞくのか
2,歌,ウタ，カシュノカ,うた，かしゅのか
2,画,ガヨウシノガ,がようしのが
2,回,マワル，カイテンノカイ,まわる，かいてんのかい
2,会,カイシャノカイ，アウ,かいしゃのかい，あう
2,海,ウミ，カイガイノカイ,うみ，かいがいのかい
2,絵,エホンノエ,えほんのえ
2,外,ガイコクノガイ，ソト,がいこくのがい，そと
2,角,カクドノカク，ツノ,かくどのかく，つの
2,楽,オンガクノガク，タノシイ,おんがくのがく，たのしい
2,活,セイカツノカツ,せいかつのかつ
2,間,ジカンノカン，アイダ,じかんのかん，あいだ
2,丸,ヒノマルノマル，ガン,ひのまるのまる，がん
2,岩,イワ，ガンセキ,いわ，がんせき
2,顔,カオイロノカオ，ガン,かおいろのかお，がん
2,汽,キテキノキ,きてきのき
2,記,キロクノキ，シルス,きろくのき，しるす
2,帰,キタクスルノキ，カエル,きたくするのき，かえる
2,弓,ユミヤノユミ,ゆみやのゆみ
2,牛,ウシ，ギュウニュウノギュウ,うし，ぎゅうにゅうのぎゅう
2,魚,サカナ，キンギョノギョ,さかな，きんぎょのぎょ
2,京,トウキョウノキョウ,とうきょうのきょう
2,強,ベンキョウノキョウ，ツヨイ,べんきょうのきょう，つよい
2,教,キョウカショノキョウ，オシエル,きょうかしょのきょう，おしえる
2,近,キンジョノキン，チカイ,きんじょのきん，ちかい
2,兄,アニオトウトノアニ,あにおとうとのあに
2,形,チョウホウケイノケイ，カタチ,ちょうほうけいのけい，かたち
2,計,トケイノケイ，ハカル,とけいのけい，はかる
2,元,ゲンキノゲン，モト,げんきのげん，もと
2,言,ゲンゴノゲン，イウ,げんごのげん，いう
2,原,ゲンインノゲン，ハラ,げんいんのげん，はら
2,戸,トジマリノト，コ,とじまりのと，こ
2,古,フルイ，コダイノコ,ふるい，こだいのこ
2,午,ショウゴノゴ,しょうごのご
2,後,ウシロ，ゼンゴノゴ,うしろ，ぜんごのご
2,語,コクゴノゴ，カタル,こくごのご，かたる
2,工,ズコウノコウ,ずこうのこう
2,公,シュジンコウノコウ，オオヤケ,しゅじんこうのこう，おおやけ
2,広,ヒロバノヒロ，コウ,ひろばのひろ，こう
2,交,コウツウノコウ，マジワル,こうつうのこう，まじわる
2,光,ヒカリ，ニッコウノコウ,ひかり，にっこうのこう
2,考,カンガエル，サンコウショノコウ,かんがえる，さんこうしょのこう
2,行,リョコウノコウ，イク,りょこうのこう，いく
2,高,タカイ，サイコウノコウ,たかい，さいこうのこう
2,黄,キイロノキ，オウ,きいろのき，おう
2,合,ゴウカクノゴウ，アウ,ごうかくのごう，あう
2,谷,タニガワノタニ，コク,たにがわのたに，こく
2,国,コクゴノコク，クニ,こくごのこく，くに
2,黒,コクバンノコク，クロ,こくばんのこく，くろ
2,今,コンゲツノコン，イマ,こんげつのこん，いま
2,才,サイノウノサイ,さいのうのさい
2,細,ホソイフトイノホソイ，サイ,ほそいふといのほそい，さい
2,作,サクブンノサク，ツクル,さくぶんのさく，つくる
2,算,サンスウノサン,さんすうのさん
2,止,キンシスルノシ，トメル,きんしするのし，とめる
2,市,シヤクショノシ，イチ,しやくしょのし，いち
2,矢,ユミヤノヤ,ゆみやのや
2,姉,アネ，シマイノシ,あね，しまいのし
2,思,フシギノシ，オモウ,ふしぎのし，おもう
2,紙,ガヨウシノシ，カミ,がようしのし，かみ
2,寺,テラ，ジインノジ,てら，じいんのじ
2,自,ジテンシャノジ，ミズカラ,じてんしゃのじ，みずから
2,時,ジカンノジ，トキ,じかんのじ，とき
2,室,キョウシツノシツ,きょうしつのしつ
2,社,シャカイノシャ，ヤシロ,しゃかいのしゃ，やしろ
2,弱,キョウジャクノジャク，ヨワイ,きょうじゃくのじゃく，よわい
2,首,シュトノシュ，クビ,しゅとのしゅ，くび
2,秋,アキマツリノアキ，シュウ,あきまつりのあき，しゅう
2,週,イッシュウカンノシュウ,いっしゅうかんのしゅう
2,春,ハルヤスミノハル，シュン,はるやすみのはる，しゅん
2,書,キョウカショノショ，カク,きょうかしょのしょ，かく
2,少,オオイスクナイノショウ，ショウ,おおいすくないのしょう，しょう
2,場,バショノバ，ジョウ,ばしょのば，じょう
2,色,イロエンピツノイロ，ショク,いろえんぴつのいろ，しょく
2,食,タベル，キュウショクノショク,たべる，きゅうしょくのしょく
2,心,ココロ，アンシンノシン,こころ，あんしんのしん
2,新,アタラシイ，シンブンノシン,あたらしい，しんぶんのしん
2,親,オヤ，リョウシンノシン,おや，りょうしんのしん
2,図,トショカンノト，ズ,としょかんのと，ず
2,数,サンスウノスウ，カズ,さんすうのすう，かず
2,西,ニシヒガシノニシ，セイ,にしひがしのにし，せい
2,声,コエ，オンセイノセイ,こえ，おんせいのせい
2,星,ホシ，セイザノセイ,ほし，せいざのせい
2,晴,ハレ，セイテンノセイ,はれ，せいてんのせい
2,切,タイセツノセツ，キル,たいせつのせつ，きる
2,雪,ユキダルマノユキ，セツ,ゆきだるまのゆき，せつ
2,船,フネ，センチョウノセン,ふね，せんちょうのせん
2,線,センロノセン,せんろのせん
2,前,マエ，ゼンゴノゼン,まえ，ぜんごのぜん
2,組,クミ，ソシキノソ,くみ，そしきのそ
2,走,ハシル，キョウソウノソウ,はしる，きょうそうのそう
2,多,オオイスクナイノオオイ，タ,おおいすくないのおおい，た
2,太,フトイホソイノフトイ，タイ,ふといほそいのふとい，たい
2,体,カラダ，タイイクノタイ,からだ，たいいくのたい
2,台,ダイドコロノダイ,だいどころのだい
2,地,チキュウノチ,ちきゅうのち
2,池,チョスイチノチ，イケ,ちょすいちのち，いけ
2,知,チシキノチ，シル,ちしきのち，しる
2,茶,チャイロノチャ,ちゃいろのちゃ
2,昼,ヒルヤスミノヒル，チュウ,ひるやすみのひる，ちゅう
2,長,ナガイ，チョウタンノチョウ,ながい，ちょうたんのちょう
2,鳥,トリ，ヤチョウノチョウ,とり，やちょうのちょう
2,朝,アサヒノアサ，チョウ,あさひのあさ，ちょう
2,直,チョクセンノチョク，ナオル,ちょくせんのちょく，なおる
2,通,コウツウノツウ，トオル,こうつうのつう，とおる
2,弟,アニオトオトノオトオト,あにおとおとのおとおと
2,店,ミセ，ショウテンノテン,みせ，しょうてんのてん
2,点,テンスウノテン,てんすうのてん
2,電,デンワノデン,でんわのでん
2,刀,カタナ，ニホントウノトウ,かたな，にほんとうのとう
2,冬,フユヤスミノフユ，トウ,ふゆやすみのふゆ，とう
2,当,トウバンノトウ，アタル,とうばんのとう，あたる
2,東,トウザイノトウ，ヒガシ,とうざいのとう，ひがし
2,答,コタエ，トウアンノトウ,こたえ，とうあんのとう
2,頭,アタマ，ズツウノズ,あたま，ずつうのず
2,同,オナジ，ドウジノドウ,おなじ，どうじのどう
2,道,ミチ，ドウロノドウ,みち，どうろのどう
2,読,ヨム，ドクショノドク,よむ，どくしょのどく
2,内,コクナイノナイ，ウチ,こくないのない，うち
2,南,ナンボクノナン，ミナミ,なんぼくのなん，みなみ
2,肉,ギュウニクノニク,ぎゅうにくのにく
2,馬,ウマ，バシャノバ,うま，ばしゃのば
2,売,ショウバイノバイ，ウル,しょうばいのばい，うる
2,買,カウ，バイシュウノバイ,かう，ばいしゅうのばい
2,麦,ムギチャノムギ,むぎちゃのむぎ
2,半,ハンブンノハン，ナカバ,はんぶんのはん，なかば
2,番,バンゴウノバン,ばんごうのばん
2,父,フボノフ，チチ,ふぼのふ，ちち
2,風,カゼ，タイフウノフウ,かぜ，たいふうのふう
2,分,ハンブンノブン，ワケル,はんぶんのぶん，わける
2,聞,シンブンノブン，キコエル,しんぶんのぶん，きこえる
2,米,コメ，シンマイノマイ,こめ，しんまいのまい
2,歩,アルク，ホドウノホ,あるく，ほどうのほ
2,母,フボノボ，ハハ,ふぼのぼ，はは
2,方,オヤカタノカタ，ホウガクノホウ,おやかたのかた，ほうがくのほう
2,北,キタミナミノキタ，ホク,きたみなみのきた，ほく
2,毎,マイニチノマイ,まいにちのまい
2,妹,イモウト，シマイノマイ,いもうと，しまいのまい
2,万,マンネンヒツノマン,まんねんひつのまん
2,明,セツメイノメイ，アカルイ,せつめいのめい，あかるい
2,鳴,ヒメイヲアゲルノメイ，ナク,ひめいをあげるのめい，なく
2,毛,ケイトノケ，ウモウノモウ,けいとのけ，うもうのもう
2,門,センモンノモン,せんもんのもん
2,夜,コンヤノヤ，ヨル,こんやのや，よる
2,野,ヤサイノヤ，ノハラノノ,やさいのや，のはらのの
2,友,ユウジンノユウ，トモ,ゆうじんのゆう，とも
2,用,リヨウスルノヨウ，モチイル,りようするのよう，もちいる
2,曜,ニチヨウビノヨウ,にちようびのよう
2,来,ライネンノライ，クル,らいねんのらい，くる
2,里,サトガエリノサト，リ,さとがえりのさと，り
2,理,リユウノリ,りゆうのり
2,話,ハナシ，デンワノワ,はなし，でんわのわ
3,悪,ゼンアクノアク，ワルイ,ぜんあくのあく，わるい
3,安,アンシンノアン，ヤスイ,あんしんのあん，やすい
3,暗,アンキスルノアン，クライ,あんきするのあん，くらい
3,医,オイシャサンノイ,おいしゃさんのい
3,委,ガッキュウイインノイ,がっきゅういいんのい
3,意,イミノイ,いみのい
3,育,キョウイクノイク，ソダテル,きょういくのいく，そだてる
3,員,ガッキュウイインノイン,がっきゅういいんのいん
3,院,ニュウインスルノイン,にゅういんするのいん
3,飲,ミズヲノムノノム，イン,みずをのむののむ，いん
3,運,ウンドウノウン，ハコブ,うんどうのうん，はこぶ
3,泳,スイエイノエイ，オヨグ,すいえいのえい，およぐ
3,駅,エキビルノエキ,えきびるのえき
3,央,チュウオウノオウ,ちゅうおうのおう
3,横,タテヨコノヨコ，オウ,たてよこのよこ，おう
3,屋,オクジョウノオク，ヤ,おくじょうのおく，や
3,温,オンセンノオン，アタタマル,おんせんのおん，あたたまる
3,化,カセキノカ，バケル,かせきのか，ばける
3,荷,ニモツノニ,にもつのに
3,界,セカイノカイ,せかいのかい
3,開,カイハツノカイ，ヒラク,かいはつのかい，ひらく
3,階,カイダンヲノボルノカイ,かいだんをのぼるのかい
3,寒,アツイサムイノサムイ，カン,あついさむいのさむい，かん
3,感,カンソウブンノカン,かんそうぶんのかん
3,漢,カンジテストノカン,かんじてすとのかん
3,館,トショカンノカン,としょかんのかん
3,岸,カイガンノガン，キシ,かいがんのがん，きし
3,起,キリツスルノキ，オキル,きりつするのき，おきる
3,期,キタイスルノキ,きたいするのき
3,客,オキャクノキャク,おきゃくのきゃく
3,究,ケンキュウノキュウ,けんきゅうのきゅう
3,急,トッキュウノキュウ，イソグ,とっきゅうのきゅう，いそぐ
3,級,サイコウキュウノキュウ,さいこうきゅうのきゅう
3,宮,オミヤマイリノミヤ，キュウ,おみやまいりのみや，きゅう
3,球,チキュウノキュウ，タマ,ちきゅうのきゅう，たま
3,去,キョネンノキョ，サル,きょねんのきょ，さる
3,橋,ホドウキョウノキョウ，ハシ,ほどうきょうのきょう，はし
3,業,ジュギョウノギョウ,じゅぎょうのぎょう
3,曲,キョクセンノキョク，マガル,きょくせんのきょく，まがる
3,局,ユウビンキョクノキョク,ゆうびんきょくのきょく
3,銀,ギンイロノギン,ぎんいろのぎん
3,区,クベツノク,くべつのく
3,苦,クロウノク，クルシイ,くろうのく，くるしい
3,具,ドウグノグ,どうぐのぐ
3,君,ショクンノクン，キミ,しょくんのくん，きみ
3,係,カンケイノケイ，カカリ,かんけいのけい，かかり
3,軽,カルイオモイノカルイ，ケイ,かるいおもいのかるい，けい
3,血,ケツエキノケツ，チ,けつえきのけつ，ち
3,決,タスウケツノケツ，キメル,たすうけつのけつ，きめる
3,研,ケンキュウノケン,けんきゅうのけん
3,県,トドウフケンノケン,とどうふけんのけん
3,庫,レイゾウコノコ,れいぞうこのこ
3,湖,コハンノコ，ミズウミ,こはんのこ，みずうみ
3,向,コウジョウスルノコウ，ムカウ,こうじょうするのこう，むかう
3,幸,コウフクノコウ，シアワセ,こうふくのこう，しあわせ
3,港,クウコウノコウ，ミナト,くうこうのこう，みなと
3,号,バンゴウノゴウ,ばんごうのごう
3,根,ダイコンノコン，ネ,だいこんのこん，ね
3,祭,サイジツノサイ，マツリ,さいじつのさい，まつり
3,皿,サラウドンノサラ,さらうどんのさら
3,仕,シゴトノシ，ツカエル,しごとのし，つかえる
3,死,シボウノシ，シヌ,しぼうのし，しぬ
3,使,シヨウスルノシ，ツカウ,しようするのし，つかう
3,始,カイシスルノシ，ハジメル,かいしするのし，はじめる
3,指,シドウスルノシ，ユビ,しどうするのし，ゆび
3,歯,ハブラシノハ，シ,はぶらしのは，し
3,詩,シヲツクルノシ,しをつくるのし
3,次,モクジノジ，ツギ,もくじのじ，つぎ
3,事,ジケンノジ，コト,じけんのじ，こと
3,持,ジゾクスルノジ，モツ,じぞくするのじ，もつ
3,式,ニュウガクシキノシキ,にゅうがくしきのしき
3,実,ジツリョクノジツ，ミ,じつりょくのじつ，み
3,写,シャシンノシャ，ウツス,しゃしんのしゃ，うつす
3,者,ガクシャノシャ，モノ,がくしゃのしゃ，もの
3,主,シュジンコウノシュ，ヌシ,しゅじんこうのしゅ，ぬし
3,守,シュビノシュ，マモル,しゅびのしゅ，まもる
3,取,シュザイノシュ，トル,しゅざいのしゅ，とる
3,酒,サケ，ニホンシュノシュ,さけ，にほんしゅのしゅ
3,受,ジュケンノジュ，ウケル,じゅけんのじゅ，うける
3,州,キュウシュウチホウノシュウ,きゅうしゅうちほうのしゅう
3,拾,オカネヲヒロウノヒロウ,おかねをひろうのひろう
3,終,シュウギョウシキノシュウ，オワル,しゅうぎょうしきのしゅう，おわる
3,習,レンシュウノシュウ，ナラウ,れんしゅうのしゅう，ならう
3,集,シュウゴウスルノシュウ，アツマル,しゅうごうするのしゅう，あつまる
3,住,ジュウショノジュウ，スム,じゅうしょのじゅう，すむ
3,重,タイジュウノジュウ，オモイ,たいじゅうのじゅう，おもい
3,宿,シュクハクノシュク，ヤド,しゅくはくのしゅく，やど
3,所,ジュウショノショ，トコロ,じゅうしょのしょ，ところ
3,暑,アツイサムイノアツイ，ショ,あついさむいのあつい，しょ
3,助,キュウジョノジョ，タスケル,きゅうじょのじょ，たすける
3,昭,ショウワウマレノショウ,しょうわうまれのしょう
3,消,ショウボウシャノショウ，ケス,しょうぼうしゃのしょう，けす
3,商,ショウバイノショウ,しょうばいのしょう
3,章,ブンショウヲヨムノショウ,ぶんしょうをよむのしょう
3,勝,カチマケノカチ，ショウ,かちまけのかち，しょう
3,乗,ジョウシャスルノジョウ，ノル,じょうしゃするのじょう，のる
3,植,ショクブツノショク，ウエル,しょくぶつのしょく，うえる
3,申,シンコクスルノシン，モウス,しんこくするのしん，もうす
3,身,シンチョウタイジュウノシン，ミ,しんちょうたいじゅうのしん，み
3,神,カミサマノカミ，シン,かみさまのかみ，しん
3,真,マゴコロノマ，シン,まごころのま，しん
3,深,シンコクナノシン，フカイ,しんこくなのしん，ふかい
3,進,シンポノシン，ススム,しんぽのしん，すすむ
3,世,セカイノセ，ヨ,せかいのせ，よ
3,整,セイリスルノセイ，トトノエル,せいりするのせい，ととのえる
3,昔,ムカシバナシノムカシ,むかしばなしのむかし
3,全,ゼンコクノゼン，マッタク,ぜんこくのぜん，まったく
3,相,ソウダンスルノソウ，アイ,そうだんするのそう，あい
3,送,ホウソウキョクノソウ，オクル,ほうそうきょくのそう，おくる
3,想,カンソウブンノソウ,かんそうぶんのそう
3,息,イキヲスルノイキ，ソク,いきをするのいき，そく
3,速,ソクドノソク，ハヤイ,そくどのそく，はやい
3,族,スイゾクカンノゾク,すいぞくかんのぞく
3,他,タニンノタ,たにんのた
3,打,タゲキノダ，ウツ,たげきのだ，うつ
3,対,ハンタイノタイ,はんたいのたい
3,待,キタイスルノタイ，マツ,きたいするのたい，まつ
3,代,ダイヒョウノダイ，カワル,だいひょうのだい，かわる
3,第,ダイイチインショウノダイ,だいいちいんしょうのだい
3,題,シュクジュダイノダイ,しゅくじゅだいのだい
3,炭,セキタンノタン，スミ,せきたんのたん，すみ
3,短,チョウタンノタン，ミジカイ,ちょうたんのたん，みじかい
3,談,ジョウダンヲイウノダン,じょうだんをいうのだん
3,着,キモノノキ，チャク,きもののき，ちゃく
3,注,チュウモクスルノチュウ，ソソグ,ちゅうもくするのちゅう，そそぐ
3,柱,ハシラ，チュウ,はしら，ちゅう
3,丁,イッチョウメノチョウ,いっちょうめのちょう
3,帳,レンラクチョウノチョウ,れんらくちょうのちょう
3,調,チョウサノチョウ，シラベル,ちょうさのちょう，しらべる
3,追,ツイセキスルノツイ，オウ,ついせきするのつい，おう
