漢字,詳細読み(カタカナ),詳細読み(漢字仮名交じり),音読み,,,,,訓読み,,,,,,,,
册,イッサツニサツノサツノキュウジ,一冊二冊のサツの旧字,,,,,,,,,,,,,,
冉,ゼン，フタタビカライッカクメヲトッタカタチ,ゼン，再びから一画目を取った形,ゼン,ネン,,,,しな（やか）,,,,,,,,
冏,ケイ，ドウガマエニカタカナノルトロ,ケイ，どうがまえに片仮名のルとロ,キョウ,ケイ,,,,あき（らか）,,,,,,,,
冑,カッチュウノチュウ，カブト,甲冑のチュウ，かぶと,チュウ,,,,,かぶと,よろい,,,,,,,
冓,コウ，ミゾノツクリ,コウ，溝の旁,コウ,,,,,く（む）,かま（える）,,,,,,,
冕,ベン，カンムリ,ベン，かんむり,ベン,,,,,かんむり,,,,,,,,
冖,ベキ，ブシュノワカンムリ,ベキ，部首のワ冠,,,,,,,,,,,,,,
冤,エンザイヲハラスノエン,冤罪を晴らすのエン,エン,,,,,ぬれぎぬ,あだ,,,,,,,
冦,モウコシュウライノゲンコウノコウノイタイジ,蒙古襲来の元寇のコウの異体字,,,,,,,,,,,,,,
冢,チョウ，カイヅカノツカノモトノジ,チョウ，貝塚のツカの元の字,チョウ,,,,,つか,おお（きい）,かしら,,,,,,
冩,シャシンノシャ，ウツスノキュウジノイタイジ，ワカンムリ,写真のシャ，うつす，の旧字の異体字，ワ冠,,,,,,,,,,,,,,
冪,ベキ，ワカンムリニジマクノマク,ベキ，ワ冠に字幕のマク,ベキ,,,,,おお（う）,,,,,,,,
冫,ヒョウ，ブシュノニスイ,ヒョウ，部首のにすい,,,,,,,,,,,,,,
决,タスウケツノケツ，キメルノイタイジ，ニスイ,多数決のケツ，きめるの異体字，にすい,,,,,,,,,,,,,,
冱,コ，ニスイニゴカクノゴ,コ，にすいに互角のゴ,コ,ゴ,,,,こお（る）,さむ（い）,さ（える）,,,,,,
冲,チュウ，ニスイニチュウガッコウノチュウ,チュウ，にすいに中学校のチュウ,,,,,,,,,,,,,,
冰,ヒョウガノヒョウ，コオリノイタイジ，ニスイ,氷河のヒョウ，こおりの異体字，二水,,,,,,,,,,,,,,
况,ジッキョウチュウケイノキョウノイタイジ，ニスイ,実況中継のキョウの異体字，にすい,,,,,,,,,,,,,,
冽,リンレツノレツ，ニスイニギョウレツノレツ,凜冽のレツ，にすいに行列のレツ,レツ,,,,,さむ（い）,つめ（たい）,,,,,,,
凅,コ，コオル，ニスイニカタマル,コ，こおり，にすいに固まる,コ,,,,,こお（る）,,,,,,,,
凉,スズシイノイタイジ，ニスイ,涼しいの異体字，にすい,,,,,,,,,,,,,,
凛,リンレツタルノリンノイタイジ,凜冽たるのリンの異体字,リン,,,,,さむ（い）,すさ（まじい）,,,,,,,
